symbol,corporate_event,pre_date,ex_date,bhavcopy_adjusted_return_pct,yfinance_close_return_pct,yfinance_adj_close_return_pct,return_difference_pct,fidelity_pass
INFY,1:1 Bonus,2018-09-03,2018-09-04,2.792,2.792,2.792,0.0,True
TCS,1:1 Bonus,2018-05-30,2018-05-31,-0.911,-0.911,-0.086,0.0,True
RELIANCE,1:1 Bonus,2017-09-06,2017-09-07,-0.559,-0.559,-0.559,0.0,True
WIPRO,1:3 Bonus,2019-03-05,2019-03-06,1.742,1.742,1.742,0.0,True
HDFCBANK,1:2 Split,2019-09-18,2019-09-19,0.656,0.656,0.656,0.0,True
EICHERMOT,1:10 Split,2020-08-21,2020-08-24,0.286,0.286,0.286,0.0,True
IRCTC,1:5 Split,2021-10-27,2021-10-28,10.589,10.589,10.589,0.0,True
TATASTEEL,1:10 Split,2022-07-27,2022-07-28,4.597,4.597,4.597,0.0,True
ITC,1:2 Bonus,2016-06-30,2016-07-01,2.748,2.748,2.748,0.0,True
BAJFINANCE,1:1 Bonus + 1:5 Split,2016-09-09,2016-09-12,-5.128,-5.128,-5.128,0.0,True
