symbol,scrip_name,yfinance_ticker,in_bhavcopy,in_yfinance,yf_bars_count,status
20MICRONS,20 Microns Ltd,20MICRONS.NS,True,True,4415,available
360ONE,360 ONE WAM LIMITED,360ONE.NS,True,True,1722,available
3IINFOLTD,3i Infotech Ltd.,3IINFOLTD.NS,False,True,4852,available
3MINDIA,3M India Ltd.,3MINDIA.NS,True,True,4851,available
63MOONS,63 Moons Technologies Ltd.,63MOONS.NS,True,True,4853,available
A2ZINFRA,Era Infra Engineering Ltd.,A2ZINFRA.NS,False,True,3872,available
AADHARHFC,Aadhar Housing Finance Limited,AADHARHFC.NS,True,True,573,available
AARTIDRUGS,Aarti Drugs Ltd.,AARTIDRUGS.NS,True,True,4853,available
AARTIIND,Aarti Industries Ltd.,AARTIIND.NS,True,True,4853,available
AARTIPHARM,AARTIPHARM,AARTIPHARM.NS,True,True,888,available
AAVAS,Aavas Financiers Ltd.,AAVAS.NS,True,True,1954,available
ABAN,Aban Offshore Ltd.,ABAN.NS,True,True,4853,available
ABB,ABB India Ltd.,ABB.NS,True,True,4853,available
ABBOTINDIA,Abbott India Ltd.,ABBOTINDIA.NS,True,True,4853,available
ABCAPITAL,Aditya Birla Capital Ltd.,ABCAPITAL.NS,True,True,2226,available
ABDL,Allied Blenders and Distillers Limited,ABDL.NS,True,True,540,available
ABFRL,Aditya Birla Fashion and Retail Ltd.,ABFRL.NS,True,True,3239,available
ABLBL,Aditya Birla Lifestyle Brands Limited,ABLBL.NS,True,True,298,available
ABNUVO,Aditya Birla Nuvo Ltd.,ABNUVO.NS,False,False,0,delisted_or_not_found
ABREL,Aditya Birla Real Estate Limited,ABREL.NS,True,True,4853,available
ABSLAMC,Aditya Birla Sun Life AMC Limited,ABSLAMC.NS,True,True,1212,available
ACC,ACC Ltd.,ACC.NS,True,True,4853,available
ACCELYA,Accelya Kale Solutions Ltd.,ACCELYA.NS,False,True,4853,available
ACE,Action Construction Equipment Limited,ACE.NS,True,True,4853,available
ACI,ACI,ACI.NS,True,True,936,available
ACMESOLAR,Acme Solar Holdings Limited,ACMESOLAR.NS,True,True,448,available
ACUTAAS,Acutaas Chemicals Limited,ACUTAAS.NS,True,True,1231,available
ADANIENSOL,Adani Energy Solutions Limited,ADANIENSOL.NS,True,True,2739,available
ADANIENT,Adani Enterprises Ltd.,ADANIENT.NS,True,True,4853,available
ADANIGREEN,Adani Green Energy Ltd.,ADANIGREEN.NS,True,True,2029,available
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,ADANIPORTS.NS,True,True,4628,available
ADANIPOWER,Adani Power Ltd.,ADANIPOWER.NS,True,True,4205,available
ADOR,Ador Welding Ltd.,ADOR.NS,False,True,4853,available
ADSL,Allied Digital Services Ltd.,ADSL.NS,True,True,4714,available
ADVENZYMES,Advanced Enzyme Tech Ltd.,ADVENZYMES.NS,True,True,2494,available
AEGISLOG,Aegis Logistics Ltd.,AEGISLOG.NS,True,True,4851,available
AEGISVOPAK,Aegis Vopak Terminals Limited,AEGISVOPAK.NS,True,True,314,available
AEQUS,AEQUS,AEQUS.NS,True,True,182,available
AETHER,AETHER,AETHER.NS,True,True,1052,available
AFCONS,Afcons Infrastructure Limited,AFCONS.NS,True,True,455,available
AFFLE,Affle (India) Ltd.,AFFLE.NS,True,True,1749,available
AFSL,Indiabulls Financial Services Ltd.,AFSL.NS,False,True,911,available
AGARWALEYE,AGARWALEYE,AGARWALEYE.NS,True,True,389,available
AHLEAST,Asian Hotels Ltd. - Hotels,AHLEAST.NS,False,True,3963,available
AHLUCONT,Ahluwalia Contracts (India) Ltd.,AHLUCONT.NS,True,True,4129,available
AIAENG,AIA Engineering Ltd.,AIAENG.NS,True,True,4851,available
AIIL,Authum Investment & Infrastructure Limited,AIIL.NS,True,True,588,available
AJANTPHARM,Ajanta Pharmaceuticals Ltd.,AJANTPHARM.NS,True,True,4852,available
AKSHOPTFBR,Aksh Optifibre Ltd.,AKSHOPTFBR.NS,True,True,4852,available
AKUMS,AKUMS,AKUMS.NS,True,True,514,available
AKZOINDIA,Akzo Nobel India Ltd.,AKZOINDIA.NS,True,False,0,delisted_or_not_found
ALEMBICLTD,Alembic Ltd.,ALEMBICLTD.NS,False,True,4857,available
ALIVUS,ALIVUS,ALIVUS.NS,True,True,1255,available
ALKEM,Alkem Laboratories Ltd.,ALKEM.NS,True,True,2642,available
ALKYLAMINE,Alkyl Amines Chemicals Ltd.,ALKYLAMINE.NS,True,True,4629,available
ALLCARGO,Allcargo Logistics Ltd.,ALLCARGO.NS,True,True,4853,available
ALOKINDS,Alok Industries Ltd.,ALOKINDS.NS,True,True,4853,available
AMARAJABAT,Amara Raja Batteries Ltd.,AMARAJABAT.NS,True,False,0,delisted_or_not_found
AMARJOTHI,Malwa Cotton Spinning Mills Ltd.,AMARJOTHI.NS,False,True,15,available
AMBALALSA,Ambalal Sarabhai Enterprises Ltd.,AMBALALSA.NS,False,True,93,available
AMBER,Amber Enterprises India Ltd.,AMBER.NS,True,True,2123,available
AMBUJACEM,Ambuja Cements Ltd.,AMBUJACEM.NS,True,True,4853,available
AMTEKINDIA,Amtek India Ltd.,AMTEKINDIA.NS,False,False,0,delisted_or_not_found
ANANDRATHI,Anand Rathi Wealth Limited,ANANDRATHI.NS,True,True,1169,available
ANANTRAJ,Anant Raj Industries Ltd.,ANANTRAJ.NS,True,True,4853,available
ANDHRSUGAR,Andhra Sugars Ltd.,ANDHRSUGAR.NS,False,True,4853,available
ANGELONE,Angel One Limited,ANGELONE.NS,True,True,1465,available
ANSALAPI,Ansal Properties & Infrastructure Ltd.,ANSALAPI.NS,True,True,4851,available
ANTHEM,Anthem Biosciences Limited,ANTHEM.NS,True,True,279,available
ANUP,ANUP,ANUP.NS,True,True,1854,available
ANURAS,Anupam Rasayan India Limited,ANURAS.NS,True,True,1346,available
APARINDS,Apar Industries Ltd.,APARINDS.NS,True,True,4853,available
APLAPOLLO,APL Apollo Tubes Ltd.,APLAPOLLO.NS,True,True,3633,available
APLLTD,Alembic Pharmaceuticals Ltd.,APLLTD.NS,True,True,3688,available
APOLLO,APOLLO,APOLLO.NS,True,True,2128,available
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,APOLLOHOSP.NS,True,True,4853,available
APOLLOTYRE,Apollo Tyres Ltd.,APOLLOTYRE.NS,True,True,4853,available
APTECHT,Aptech Ltd.,APTECHT.NS,False,True,4853,available
APTUS,Aptus Value Housing Finance India Limited,APTUS.NS,True,True,1245,available
ARCHIES,Archies Ltd.,ARCHIES.NS,True,True,4851,available
ARE&M,Amara Raja Energy & Mobility Limited,ARE&M.NS,True,True,4853,available
ARSHIYA,Arshiya International Ltd.,ARSHIYA.NS,False,True,4127,available
ARVIND,Arvind Ltd,ARVIND.NS,True,True,4853,available
ARVINDFASN,Arvind Fashions Ltd.,ARVINDFASN.NS,True,True,1851,available
ASAHIINDIA,Asahi India Glass Ltd.,ASAHIINDIA.NS,True,True,4857,available
ASHAPURMIN,ASHAPURMIN,ASHAPURMIN.NS,True,True,4853,available
ASHIANA,Ashiana Housing Ltd.,ASHIANA.NS,True,True,3744,available
ASHIMASYN,Ashima Ltd.,ASHIMASYN.NS,True,True,4853,available
ASHOKA,Ashoka Buildcon Ltd.,ASHOKA.NS,True,True,3920,available
ASHOKLEY,Ashok Leyland Finance Ltd.,ASHOKLEY.NS,True,True,4853,available
ASIANHOTNR,Asian Hotels (North) Ltd.,ASIANHOTNR.NS,False,True,4851,available
ASIANPAINT,Asian Paints India Ltd.,ASIANPAINT.NS,True,True,4853,available
ASKAUTOLTD,ASKAUTOLTD,ASKAUTOLTD.NS,True,True,693,available
ASTERDM,Aster DM Healthcare Ltd.,ASTERDM.NS,True,True,2105,available
ASTRAL,Astral Poly Technik Ltd.,ASTRAL.NS,True,True,4801,available
ASTRAMICRO,Astra Microwave Products Ltd.,ASTRAMICRO.NS,True,True,4853,available
ATGL,Adani Gas Ltd.,ATGL.NS,True,True,1935,available
ATHERENERG,Ather Energy Limited,ATHERENERG.NS,True,True,333,available
ATLANTAELE,ATLANTAELE,ATLANTAELE.NS,True,True,230,available
ATLASCYCLE,Atlas Cycle (Haryana) Ltd.,ATLASCYCLE.NS,False,True,4850,available
ATUL,Atul Ltd.,ATUL.NS,True,True,4853,available
AUBANK,AU Small Finance Bank Ltd.,AUBANK.NS,True,True,2262,available
AURIONPRO,AURIONPRO,AURIONPRO.NS,True,True,4853,available
AUROPHARMA,Aurobindo Pharma Ltd.,AUROPHARMA.NS,True,True,4852,available
AUTOAXLES,Automotive Axles Ltd.,AUTOAXLES.NS,True,True,4852,available
AUTOIND,Autoline Industries Ltd.,AUTOIND.NS,True,True,4833,available
AVALON,AVALON,AVALON.NS,True,True,837,available
AVANTIFEED,Avanti Feeds Ltd.,AVANTIFEED.NS,True,True,4112,available
AVL,AVL,AVL.NS,True,True,451,available
AWFIS,AWFIS,AWFIS.NS,True,True,563,available
AWL,AWL Agri Business Limited,AWL.NS,True,True,1130,available
AXISBANK,Axis Bank Ltd.,AXISBANK.NS,True,True,4853,available
AXISCADES,AXISCADES,AXISCADES.NS,True,True,4854,available
AZAD,AZAD,AZAD.NS,True,True,664,available
BAJAJ-AUTO,Bajaj Auto Ltd,BAJAJ-AUTO.NS,True,True,4853,available
BAJAJCON,Bajaj Corp Ltd.,BAJAJCON.NS,True,True,3960,available
BAJAJELEC,Bajaj Electricals Ltd,BAJAJELEC.NS,True,True,4644,available
BAJAJFINSV,Bajaj Finserv Ltd.,BAJAJFINSV.NS,True,True,4853,available
BAJAJHFL,Bajaj Housing Finance Limited,BAJAJHFL.NS,True,True,489,available
BAJAJHIND,Bajaj Hindusthan Ltd.,BAJAJHIND.NS,True,True,4853,available
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,BAJAJHLDNG.NS,True,True,4853,available
BAJFINANCE,Bajaj Finance Ltd.,BAJFINANCE.NS,True,True,4853,available
BALAJITELE,Balaji Telefilms Ltd.,BALAJITELE.NS,True,True,4852,available
BALAMINES,BALAMINES,BALAMINES.NS,True,True,4790,available
BALKRISHNA,AP Paper Mills Ltd.,BALKRISHNA.NS,False,True,2741,available
BALKRISIND,Balkrishna Industries Ltd.,BALKRISIND.NS,True,True,4852,available
BALMLAWRIE,Balmer Lawrie & Co. Ltd.,BALMLAWRIE.NS,True,True,4853,available
BALRAMCHIN,Balrampur Chini Mills Ltd.,BALRAMCHIN.NS,True,True,4853,available
BALUFORGE,BALUFORGE,BALUFORGE.NS,True,True,584,available
BANARISUG,Bannari Amman Sugars Ltd.,BANARISUG.NS,False,True,4852,available
BANCOINDIA,Banco Products (India) Ltd.,BANCOINDIA.NS,True,True,4852,available
BANDHANBNK,Bandhan Bank Ltd.,BANDHANBNK.NS,True,True,2085,available
BANKBARODA,Bank of Baroda,BANKBARODA.NS,True,True,4853,available
BANKINDIA,Bank Of India,BANKINDIA.NS,True,True,4853,available
BASF,BASF India Ltd.,BASF.NS,True,True,4853,available
BATAINDIA,Bata India Ltd.,BATAINDIA.NS,True,True,4853,available
BAYERCROP,Bayer Cropscience India Ltd. -Erstwhile,BAYERCROP.NS,True,True,4113,available
BBL,Bharat Bijlee Ltd.,BBL.NS,False,True,4853,available
BBOX,BBOX,BBOX.NS,True,True,4853,available
BBTC,Bombay Burmah Trading Corporation Ltd.,BBTC.NS,True,True,4853,available
BDL,Bharat Dynamics Ltd.,BDL.NS,True,True,2087,available
BECTORFOOD,BECTORFOOD,BECTORFOOD.NS,True,True,1408,available
