symbol,intersecting_bars,mape_close_pct,max_close_diff_pct,mape_open_pct,divergent_bars_gt_1pct,divergent_pct
BEPL,1154,33.3333,33.3333,33.3328,1154,100.0
MANINFRA,1154,33.3333,33.3333,33.3333,1154,100.0
PANACEABIO,1154,15.017,15.1045,15.0169,1154,100.0
SUVEN,1154,83.0734,95.3546,83.0736,1154,100.0
PATELENG,1154,26.0249,30.6414,26.0267,1154,100.0
TTKPRESTIG,1154,90.0001,90.0698,90.0,1154,100.0
VSTIND,1154,90.9091,90.9091,90.9091,1154,100.0
ALLCARGO,1154,75.0,75.0,75.0001,1154,100.0
KOTHARIPRO,1154,50.0,50.0,50.0,1154,100.0
PGIL,2882,58.4997,75.247,58.5002,2882,100.0
SHREERAMA,1150,12.6003,16.0594,12.5947,1150,100.0
KKCL,1152,79.9999,80.0,80.0,1152,100.0
MASFIN,713,66.6678,67.2509,66.6667,713,100.0
SHOPERSTOP,1154,5.3254,5.3254,5.3274,1154,100.0
KESORAMIND,1154,19.6541,31.0916,19.6567,1154,100.0
VESUVIUS,1154,90.0,90.0,90.0,1154,100.0
BHARATRAS,1154,75.0,75.0,75.0,1154,100.0
VISAKAIND,1154,79.9999,80.0,80.0006,1154,100.0
GARFIBRES,509,80.0204,81.1124,80.0231,509,100.0
MHRIL,1154,33.3333,33.3333,33.3384,1154,100.0
HATSUN,1154,26.899,27.3948,26.8989,1154,100.0
MAHLIFE,1154,67.2859,69.0174,67.2859,1154,100.0
RSWM,1154,35.9135,35.9135,35.9135,1154,100.0
JAGSNPHARM,1154,60.0,60.0,60.0001,1154,100.0
VRLLOG,1154,50.0,50.0,50.0007,1154,100.0
VAKRANGEE,1154,6.8207,6.8207,6.8182,1154,100.0
PFC,2883,25.7062,97.6109,25.7053,2881,99.93
CESC,4853,55.4609,91.0226,55.4607,4844,99.81
SURYAROSNI,2883,33.3524,75.0,33.3522,2876,99.76
HINDPETRO,2883,27.6154,73.5728,27.615,2872,99.62
GODFRYPHLP,2883,31.2557,66.6667,31.2556,2868,99.48
INDUSTOWER,2883,21.2562,49.3003,21.2555,2868,99.48
BHARTIARTL,4853,6.7943,10.1574,6.7933,4827,99.46
STYRENIX,2883,39.8063,61.9512,39.8061,2867,99.45
PCBL,2883,19.7493,37.7316,19.7491,2863,99.31
RECLTD,2883,32.392,138.1105,32.3914,2862,99.27
WIPRO,2883,24.8642,50.0,24.8626,2858,99.13
VOLTAMP,2883,9.0995,19.6642,9.0991,2857,99.1
FIEMIND,2883,11.6677,22.6932,11.6677,2856,99.06
SONATSOFTW,2883,32.3521,62.5,32.3516,2851,98.89
ZENSARTECH,2883,10.7403,20.8405,10.7401,2851,98.89
