anomaly_id,scrip_name,action,excel_row,effective_date,predecessor_scrip_name,predecessor_in_date,predecessor_excel_row,rename_effective_date,symbol,isin,exchange_circular_evidence,reconciliation_type,resolution_summary
ORPHAN_OUT_01,RattanIndia Power Ltd.,OUT,1817,2015-09-28,Indiabulls Power Ltd.,2011-10-10,1512,2014-10-30,RTNPOWER,INE399K01017,RoC Certificate of Incorporation dated 2014-10-30; NSE circular effective 2014-11-03 for name change from Indiabulls Power Ltd. to RattanIndia Power Ltd.,rename_link,Link predecessor Indiabulls Power Ltd. to RattanIndia Power Ltd. on rename date 2014-10-30; resolves orphan OUT on 2015-09-28.
ORPHAN_OUT_02,Indiabulls Ventures Ltd.,OUT,1871,2016-04-01,Indiabulls Securities Ltd.,2009-08-14,1376,2015-03-20,IBVENTURES,INE274G01010,RoC Certificate dated 2015-03-12; NSE circular Ref No: 0267/2015 effective 2015-03-20 for name change from Indiabulls Securities Ltd. to Indiabulls Ventures Ltd. (symbol changed to IBVENTURES).,rename_link,Link predecessor Indiabulls Securities Ltd. to Indiabulls Ventures Ltd. on rename date 2015-03-20; resolves orphan OUT on 2016-04-01.
ORPHAN_OUT_03,Castex Technologies Ltd.,OUT,2008,2016-09-30,Amtek India Ltd.,2007-04-04,1232,2015-05-15,CASTEXTECH,INE068D01021,RoC Certificate dated 2015-05-04; NSE circular Ref No: 0463/2015 effective 2015-05-15 for name change from Amtek India Ltd. to Castex Technologies Ltd. (symbol AMTEKINDIA -> CASTEXTECH).,rename_link,Link predecessor Amtek India Ltd. to Castex Technologies Ltd. on rename date 2015-05-15; resolves orphan OUT on 2016-09-30.
ORPHAN_OUT_04,INEOS Styrolution India Ltd.,OUT,2023,2016-09-30,Styrolution ABS (India) Ltd.,2016-04-01,1981,2016-01-28,INEOSSTYRO,INE189B01011,RoC Certificate dated 2016-01-18; NSE circular Ref No: 0072/2016 effective 2016-01-28 for name change from Styrolution ABS (India) Ltd. to INEOS Styrolution India Ltd. (symbol STYROLUTN -> INEOSSTYRO).,rename_link,Link predecessor Styrolution ABS (India) Ltd. to INEOS Styrolution India Ltd. on 2016-01-28; resolves orphan OUT on 2016-09-30.
ORPHAN_OUT_05,Siti Networks Ltd.,OUT,2087,2017-03-31,Siti Cable Network Ltd.,2015-09-28,1830,2016-09-16,SITINET,INE264J01014,RoC Certificate dated 2016-08-25; NSE circular Ref No: 0751/2016 effective 2016-09-16 for name change from Siti Cable Network Ltd. to Siti Networks Ltd. (symbol SITICABLE -> SITINET).,rename_link,Link predecessor Siti Cable Network Ltd. to Siti Networks Ltd. on 2016-09-16; resolves orphan OUT on 2017-03-31.
ORPHAN_OUT_06,IIFL Holdings Ltd.,OUT,2117,2017-06-23,India Infoline Ltd.,2007-12-26,1270,2014-05-23,IIFL,INE530B01024,RoC Certificate dated 2014-05-14; NSE circular Ref No: 0432/2014 effective 2014-05-23 for name change from India Infoline Ltd. to IIFL Holdings Ltd. (symbol INDIAINFO -> IIFL).,rename_link,Link predecessor India Infoline Ltd. to IIFL Holdings Ltd. on 2014-05-23; resolves orphan OUT on 2017-06-23.
ORPHAN_OUT_07,Reliance Capital Ltd.,OUT,2136,2017-09-05,Reliance Capital Ltd. (Row 2119),1998-08-01,382,N/A,RELCAPITAL,INE013A01015,IISL/NSE circular effective 2017-09-05 replacement of Reliance Capital by Max Financial Services. Correctly recorded at Row 2119 and 2120; redundantly duplicated inside 2017-09-29 rebalance block at Row 2136.,date_quarantine_resolution,Quarantined duplicate exclusion record embedded in 2017-09-29 block. Preceding exclusion on 2017-09-05 (Row 2119) already excluded stock. Mark Row 2136 as REMOVE.
ORPHAN_OUT_08,Strides Shasun Ltd.,OUT,2182,2018-02-05,Strides Arcolab Ltd.,2004-12-10,1087,2015-11-19,STAR,INE939A01011,RoC Certificate dated 2015-11-18 following merger with Shasun Pharmaceuticals; NSE circular Ref No: 0984/2015 effective 2015-11-19 (symbol STAR retained).,rename_link,Link predecessor Strides Arcolab Ltd. to Strides Shasun Ltd. on 2015-11-19; resolves orphan OUT on 2018-02-05.
ORPHAN_OUT_09,Arvind Ltd.,OUT,2237,2018-06-29,Arvind Ltd,2015-12-14,1840,2015-12-14,ARVIND,INE034A01011,Punctuation/normalization discrepancy in IndexInclExcl.xls. Included on 2015-12-14 without dot ('Arvind Ltd') and excluded on 2018-06-29 with dot ('Arvind Ltd.').,rename_link,Normalize and link 'Arvind Ltd' to 'Arvind Ltd.' on 2015-12-14; resolves orphan OUT on 2018-06-29.
ORPHAN_OUT_10,Bajaj Hindusthan Sugar Ltd.,OUT,2249,2018-09-28,Bajaj Hindusthan Ltd.,2003-09-29,1008,2015-02-04,BAJAJHIND,INE306A01021,RoC Certificate dated 2015-01-30; NSE circular Ref No: 0087/2015 effective 2015-02-04 for name change from Bajaj Hindusthan Ltd. to Bajaj Hindusthan Sugar Ltd. (symbol BAJAJHIND retained).,rename_link,Link predecessor Bajaj Hindusthan Ltd. to Bajaj Hindusthan Sugar Ltd. on 2015-02-04; resolves orphan OUT on 2018-09-28.
