index,source_label,effective_date,scrip_name,action,correction_type,target_scrip_name,rationale,status
NIFTY500,Nifty 500,2014-10-30,Indiabulls Power Ltd.,RENAME,rename_link,RattanIndia Power Ltd.,Corporate restructuring and legal rename from Indiabulls Power Ltd. to RattanIndia Power Ltd. pursuant to fresh Certificate of Incorporation dated 2014-10-30; resolves orphan OUT on 2015-09-28 (Row 1817).,proposed
NIFTY500,Nifty 500,2015-03-20,Indiabulls Securities Ltd.,RENAME,rename_link,Indiabulls Ventures Ltd.,Corporate name change from Indiabulls Securities Ltd. to Indiabulls Ventures Ltd. pursuant to RoC certificate dated 2015-03-12; NSE circular Ref No: 0267/2015 effective 2015-03-20 (symbol changed to IBVENTURES); resolves orphan OUT on 2016-04-01 (Row 1871).,proposed
NIFTY500,Nifty 500,2015-05-15,Amtek India Ltd.,RENAME,rename_link,Castex Technologies Ltd.,Corporate name change from Amtek India Ltd. to Castex Technologies Ltd. pursuant to RoC certificate dated 2015-05-04; NSE circular Ref No: 0463/2015 effective 2015-05-15 (symbol AMTEKINDIA -> CASTEXTECH); resolves orphan OUT on 2016-09-30 (Row 2008).,proposed
NIFTY500,Nifty 500,2016-01-28,Styrolution ABS (India) Ltd.,RENAME,rename_link,INEOS Styrolution India Ltd.,Corporate name change from Styrolution ABS (India) Ltd. to INEOS Styrolution India Ltd. pursuant to RoC certificate dated 2016-01-18; NSE circular Ref No: 0072/2016 effective 2016-01-28 (symbol STYROLUTN -> INEOSSTYRO); resolves orphan OUT on 2016-09-30 (Row 2023).,proposed
NIFTY500,Nifty 500,2016-09-16,Siti Cable Network Ltd.,RENAME,rename_link,Siti Networks Ltd.,Corporate name change from Siti Cable Network Ltd. to Siti Networks Ltd. pursuant to RoC certificate dated 2016-08-25; NSE circular Ref No: 0751/2016 effective 2016-09-16 (symbol SITICABLE -> SITINET); resolves orphan OUT on 2017-03-31 (Row 2087).,proposed
NIFTY500,Nifty 500,2014-05-23,India Infoline Ltd.,RENAME,rename_link,IIFL Holdings Ltd.,Corporate name change from India Infoline Ltd. to IIFL Holdings Ltd. pursuant to RoC certificate dated 2014-05-14; NSE circular Ref No: 0432/2014 effective 2014-05-23 (symbol INDIAINFO -> IIFL); resolves orphan OUT on 2017-06-23 (Row 2117).,proposed
NIFTY500,Nifty 500,2017-09-05,Reliance Capital Ltd.,REMOVE,date_quarantine_resolution,,Quarantined duplicate exclusion record at Row 2136 embedded in 2017-09-29 rebalance block; replacement by Max Financial Services already executed on 2017-09-05 at Row 2119. Removing redundant duplicate resolves orphan OUT.,proposed
NIFTY500,Nifty 500,2017-09-05,Max Financial Services Ltd.,REMOVE,date_quarantine_resolution,,Quarantined duplicate inclusion record at Row 2162 embedded in 2017-09-29 rebalance block; formal inclusion replacing Reliance Capital already executed on 2017-09-05 at Row 2120. Removing redundant duplicate resolves duplicate IN.,proposed
NIFTY500,Nifty 500,2015-11-19,Strides Arcolab Ltd.,RENAME,rename_link,Strides Shasun Ltd.,Corporate name change from Strides Arcolab Ltd. to Strides Shasun Ltd. pursuant to merger with Shasun Pharmaceuticals and RoC certificate dated 2015-11-18; NSE circular Ref No: 0984/2015 effective 2015-11-19; resolves orphan OUT on 2018-02-05 (Row 2182).,proposed
NIFTY500,Nifty 500,2015-12-14,Arvind Ltd,RENAME,rename_link,Arvind Ltd.,Typographical dot normalization linking inclusion without dot 'Arvind Ltd' (Row 1840 on 2015-12-14) to exclusion with dot 'Arvind Ltd.' (Row 2237 on 2018-06-29); resolves orphan OUT.,proposed
NIFTY500,Nifty 500,2015-02-04,Bajaj Hindusthan Ltd.,RENAME,rename_link,Bajaj Hindusthan Sugar Ltd.,Corporate name change from Bajaj Hindusthan Ltd. to Bajaj Hindusthan Sugar Ltd. pursuant to RoC certificate dated 2015-01-30; NSE circular Ref No: 0087/2015 effective 2015-02-04; resolves orphan OUT on 2018-09-28 (Row 2249).,proposed
