snapshot_idx,snapshot_date,uncorrected_constituent_count,corrected_constituent_count,is_valid_range_490_515,delta
1,2016-01-04,501,500,True,-1
2,2016-02-01,501,500,True,-1
3,2016-03-01,501,500,True,-1
4,2016-04-01,503,501,True,-2
5,2016-05-02,503,501,True,-2
6,2016-06-01,503,501,True,-2
7,2016-07-01,503,501,True,-2
8,2016-08-01,503,501,True,-2
9,2016-09-01,503,501,True,-2
10,2016-10-03,505,501,True,-4
11,2016-11-01,505,501,True,-4
12,2016-12-01,505,501,True,-4
13,2017-01-02,505,501,True,-4
14,2017-02-01,505,501,True,-4
15,2017-03-01,505,501,True,-4
16,2017-04-03,506,501,True,-5
17,2017-05-02,506,501,True,-5
18,2017-06-01,506,501,True,-5
19,2017-07-03,507,501,True,-6
20,2017-08-01,507,501,True,-6
21,2017-09-01,507,501,True,-6
22,2017-10-03,507,501,True,-6
23,2017-11-01,507,501,True,-6
24,2017-12-01,507,501,True,-6
25,2018-01-02,507,501,True,-6
26,2018-02-01,507,501,True,-6
27,2018-03-01,508,501,True,-7
28,2018-04-02,508,501,True,-7
29,2018-05-02,508,501,True,-7
30,2018-06-01,508,501,True,-7
31,2018-07-02,509,501,True,-8
32,2018-08-01,509,501,True,-8
33,2018-09-03,509,501,True,-8
34,2018-10-01,510,501,True,-9
35,2018-11-01,510,501,True,-9
36,2018-12-03,510,501,True,-9
37,2019-01-02,511,501,True,-10
38,2019-02-01,511,501,True,-10
39,2019-03-01,511,501,True,-10
40,2019-04-01,513,501,True,-12
41,2019-05-02,513,501,True,-12
42,2019-06-03,513,501,True,-12
43,2019-07-01,513,501,True,-12
44,2019-08-01,513,501,True,-12
45,2019-09-03,513,501,True,-12
46,2019-10-01,513,501,True,-12
47,2019-11-01,513,501,True,-12
48,2019-12-02,513,501,True,-12
49,2020-01-01,514,501,True,-13
50,2020-02-03,514,501,True,-13
51,2020-03-02,514,501,True,-13
52,2020-04-01,514,501,True,-13
53,2020-05-04,514,501,True,-13
54,2020-06-01,514,501,True,-13
55,2020-07-01,514,501,True,-13
56,2020-08-03,515,501,True,-14
57,2020-09-01,515,501,True,-14
