symbol,first_bar,last_bar,bar_count,missing_vs_calendar_since_first_bar
360ONE,2019-09-19,2026-08-31,1722,-6
3MINDIA,2007-01-02,2026-08-31,4851,-202
AADHARHFC,2024-05-15,2026-08-31,573,-5
AARTIDRUGS,2007-01-02,2026-08-31,4853,-204
AARTIIND,2007-01-02,2026-08-31,4853,-204
AARTIPHARM,2023-01-30,2026-08-31,888,-5
AAVAS,2018-10-08,2026-08-31,1954,-8
ABB,2007-01-02,2026-08-31,4853,-204
ABBOTINDIA,2007-01-02,2026-08-31,4853,-204
ABCAPITAL,2017-09-01,2026-08-31,2226,-9
ABDL,2024-07-02,2026-08-31,540,-4
ABFRL,2013-07-17,2026-08-31,3239,-17
ABLBL,2025-06-24,2026-08-31,298,-5
ABREL,2007-01-02,2026-08-31,4853,-204
ABSLAMC,2021-10-11,2026-08-31,1212,-5
ACC,2007-01-02,2026-08-31,4853,-204
ACE,2007-01-02,2026-08-31,4853,-204
ACI,2022-11-21,2026-08-31,936,-4
ACMESOLAR,2024-11-13,2026-08-31,448,-5
ACUTAAS,2021-09-14,2026-08-31,1231,-5
ADANIENSOL,2015-07-31,2026-08-31,2739,-11
ADANIENT,2007-01-02,2026-08-31,4853,-204
ADANIGREEN,2018-06-18,2026-08-31,2029,-8
ADANIPORTS,2007-11-27,2026-08-31,4628,-28
ADANIPOWER,2009-08-20,2026-08-31,4205,-26
ADVENZYMES,2016-08-01,2026-08-31,2494,-10
AEGISLOG,2007-01-02,2026-08-31,4851,-202
AEGISVOPAK,2025-06-02,2026-08-31,314,-5
AEQUS,2025-12-10,2026-08-31,182,-5
AETHER,2022-06-03,2026-08-31,1052,-5
AFCONS,2024-11-04,2026-08-31,455,-5
AFFLE,2019-08-08,2026-08-31,1749,-7
AGARWALEYE,2025-02-04,2026-08-31,389,-3
AHLUCONT,2009-12-14,2026-08-31,4129,-26
AIAENG,2007-01-02,2026-08-31,4851,-202
AIIL,2024-04-23,2026-08-31,588,-5
AJANTPHARM,2007-01-02,2026-08-31,4852,-203
AKUMS,2024-08-06,2026-08-31,514,-2
ALIVUS,2021-08-06,2026-08-31,1255,-4
ALKEM,2015-12-23,2026-08-31,2642,-10
ALKYLAMINE,2007-11-26,2026-08-31,4629,-28
ALOKINDS,2007-01-02,2026-08-31,4853,-204
AMBER,2018-01-30,2026-08-31,2123,-8
AMBUJACEM,2007-01-02,2026-08-31,4853,-204
ANANDRATHI,2021-12-14,2026-08-31,1169,-5
ANANTRAJ,2007-01-02,2026-08-31,4853,-204
