group_id,sheet,row,effective_date,scrip_name,action,date_type,neighbour_prev,neighbour_next,placement_context,quarantine_reason
grp_2017_09_05,Nifty 200,348,2017-09-05,Reliance Capital Ltd.,OUT,datetime,2017-09-29,2017-09-29,embedded inside 2017-09-29 rebalance block,Chronological anomaly embedded in 2017-09-29 rebalance block or duplicate pair
grp_2017_09_05,Nifty 200,354,2017-09-05,Max Financial Services Ltd.,IN,datetime,2017-09-29,2017-10-30,at end of 2017-09-29 block (next: 2017-10-30),Chronological anomaly embedded in 2017-09-29 rebalance block or duplicate pair
grp_2017_09_05,Nifty Midcap 100,392,2017-09-05,Reliance Capital Ltd.,OUT,datetime,2017-09-29,2017-09-29,embedded inside 2017-09-29 rebalance block,Chronological anomaly embedded in 2017-09-29 rebalance block or duplicate pair
grp_2017_09_05,Nifty Midcap 100,397,2017-09-05,Avenue Supermarts Ltd.,IN,datetime,2017-09-29,2017-09-29,embedded inside 2017-09-29 rebalance block,Chronological anomaly embedded in 2017-09-29 rebalance block or duplicate pair
grp_2017_09_05,Nifty 500,2136,2017-09-05,Reliance Capital Ltd.,OUT,datetime,2017-09-29,2017-09-29,embedded inside 2017-09-29 rebalance block,Chronological anomaly embedded in 2017-09-29 rebalance block or duplicate pair
grp_2017_09_05,Nifty 500,2162,2017-09-05,Max Financial Services Ltd.,IN,datetime,2017-09-29,2017-09-29,embedded inside 2017-09-29 rebalance block,Chronological anomaly embedded in 2017-09-29 rebalance block or duplicate pair
grp_2017_09_05,Nifty Midcap 50,287,2017-09-05,Reliance Capital Ltd.,OUT,datetime,2017-09-29,2017-09-29,embedded inside 2017-09-29 rebalance block,Chronological anomaly embedded in 2017-09-29 rebalance block or duplicate pair
grp_2017_09_05,Nifty Midcap 50,289,2017-09-05,Berger Paints India Ltd.,IN,datetime,2017-09-29,2017-09-29,embedded inside 2017-09-29 rebalance block,Chronological anomaly embedded in 2017-09-29 rebalance block or duplicate pair
grp_2017_09_05,Nifty High Beta 50,125,2017-09-05,Reliance Capital Ltd.,OUT,datetime,2017-09-29,2017-09-29,embedded inside 2017-09-29 rebalance block,Chronological anomaly embedded in 2017-09-29 rebalance block or duplicate pair
grp_2017_09_05,Nifty High Beta 50,128,2017-09-05,Jaiprakash Associates Ltd.,IN,datetime,2017-09-29,2017-09-29,embedded inside 2017-09-29 rebalance block,Chronological anomaly embedded in 2017-09-29 rebalance block or duplicate pair
grp_2017_09_05,Nifty Dividend Opportunities 50,130,2017-09-05,Reliance Capital Ltd.,OUT,datetime,2017-09-05,2017-09-05,"duplicate pair (prev: 2017-09-05, next: 2017-09-05)",Chronological anomaly embedded in 2017-09-29 rebalance block or duplicate pair
grp_2017_09_05,Nifty Dividend Opportunities 50,131,2017-09-05,National Aluminium Co. Ltd.,IN,datetime,2017-09-05,2017-12-29,"duplicate pair (prev: 2017-09-05, next: 2017-12-29)",Chronological anomaly embedded in 2017-09-29 rebalance block or duplicate pair
