scrip_name,symbol,isin,first_seen,last_seen,resolution_method,confidence,status,eq_name,eq_series,eq_listing_date,isin_in_equity_l,name_similarity,first_token_match,price_first_bar,price_last_bar,bars_expected,bars_present,coverage_pct,flags,evidence_source
20 Microns Ltd,20MICRONS,INE144J01027,2013-07-17,2013-09-27,equity_l_exact,high,proposed,20 Microns Limited,EQ,06-OCT-2008,True,1.0,True,,,50,0,0.0,,EQUITY_L
20th Century Finance Corporation Ltd.,,,1998-08-01,1999-02-03,unresolved,low,unresolved,,,,False,0.0,False,,,0,0,0.0,no_candidate,
3M India Ltd.,3MINDIA,INE470A01017,1998-08-01,2018-09-28,equity_l_exact,high,auto,3M India Limited,EQ,13-AUG-2004,True,1.0,True,2007-01-02,2026-08-31,3177,3177,100.0,listing_after_first_seen,EQUITY_L
3i Infotech Ltd.,3IINFOLTD,INE748C01038,2009-12-22,2013-09-27,equity_l_exact,high,proposed,3i Infotech Limited,BE,22-OCT-2021,True,1.0,True,,,925,0,0.0,listing_after_first_seen,EQUITY_L
63 Moons Technologies Ltd.,63MOONS,INE111B01023,2006-02-03,2014-03-28,equity_l_exact,high,proposed,63 moons technologies limited,EQ,20-JUN-2005,True,1.0,True,,,1598,0,0.0,,EQUITY_L
8K Miles Soft Services Ltd.,,,2016-04-01,2019-03-29,unresolved,low,unresolved,,,,False,0.0,False,,,0,0,0.0,no_candidate,
ABB India Ltd.,ABB,INE117A01022,1996-09-18,2020-06-26,equity_l_exact,high,proposed,ABB India Limited,EQ,08-FEB-1995,True,1.0,True,2007-01-02,2026-08-31,2940,2940,100.0,concurrent_alias_collision,EQUITY_L
ABB Ltd.,ABB,INE117A01022,1998-08-01,2013-02-01,token_match,high,proposed,ABB India Limited,EQ,08-FEB-1995,True,1.0,True,2007-01-02,2026-08-31,3146,3146,100.0,first_token_mismatch;name_mismatch;concurrent_alias_collision,EQUITY_L_token_match
ABG Shipyard Ltd.,,,2008-02-15,2016-09-30,unresolved,low,unresolved,,,,False,0.0,False,,,0,0,0.0,no_candidate,
ACC Ltd.,ACC,INE012A01025,1998-08-01,2019-09-27,equity_l_exact,high,proposed,ACC Limited,EQ,20-NOV-1996,True,1.0,True,2007-01-02,2026-08-31,3177,3177,100.0,first_token_mismatch,EQUITY_L
ADC India Communications Ltd.,,,1999-09-08,2003-04-01,unresolved,low,unresolved,,,,False,0.0,False,,,0,0,0.0,no_candidate,
AGC Networks Ltd.,,,1998-08-01,2011-03-25,unresolved,low,unresolved,,,,False,0.0,False,,,0,0,0.0,no_candidate,
AIA Engineering Ltd.,AIAENG,INE212H01026,2006-04-03,2018-09-28,equity_l_exact,high,auto,AIA Engineering Limited,EQ,14-DEC-2005,True,1.0,True,2007-01-02,2026-08-31,3177,3177,100.0,,EQUITY_L
AP Paper Mills Ltd.,BALKRISHNA,INE875R01011,1998-08-01,2002-04-23,token_match,medium,proposed,Balkrishna Paper Mills Limited,EQ,28-JUL-2015,True,0.5,False,,,0,0,0.0,first_token_mismatch;name_mismatch;listing_after_first_seen,EQUITY_L_token_match
APL Apollo Tubes Ltd.,APLAPOLLO,INE702C01027,2016-04-29,2016-09-30,equity_l_exact,high,auto,APL Apollo Tubes Limited,EQ,14-DEC-2011,True,1.0,True,2011-12-14,2026-08-31,1077,1077,100.0,,EQUITY_L
APR Ltd.,,,1998-08-01,2000-09-03,unresolved,low,unresolved,,,,False,0.0,False,,,0,0,0.0,no_candidate,
