snapshot_date,label,total_members,mapped_count,mapped_frac,price_covered_count,price_covered_frac,both_count,both_frac
2016-01-04,backtestable_candidate_window,501,274,54.69,87,17.37,74,14.77
2016-02-01,backtestable_candidate_window,501,274,54.69,88,17.56,75,14.97
2016-03-01,backtestable_candidate_window,501,274,54.69,88,17.56,75,14.97
2016-04-01,backtestable_candidate_window,503,283,56.26,113,22.47,96,19.09
2016-05-02,backtestable_candidate_window,503,285,56.66,113,22.47,96,19.09
2016-06-01,backtestable_candidate_window,503,285,56.66,113,22.47,96,19.09
2016-07-01,backtestable_candidate_window,503,285,56.66,113,22.47,96,19.09
2016-08-01,backtestable_candidate_window,503,285,56.66,113,22.47,96,19.09
2016-09-01,backtestable_candidate_window,503,285,56.66,113,22.47,96,19.09
2016-10-03,backtestable_candidate_window,505,286,56.63,115,22.77,99,19.6
2016-11-01,backtestable_candidate_window,505,286,56.63,115,22.77,99,19.6
2016-12-01,backtestable_candidate_window,505,287,56.83,116,22.97,100,19.8
2017-01-02,backtestable_candidate_window,505,287,56.83,116,22.97,100,19.8
2017-02-01,backtestable_candidate_window,505,288,57.03,119,23.56,102,20.2
2017-03-01,backtestable_candidate_window,505,288,57.03,119,23.56,102,20.2
2017-04-03,backtestable_candidate_window,506,294,58.1,130,25.69,111,21.94
2017-05-02,backtestable_candidate_window,506,294,58.1,130,25.69,111,21.94
2017-06-01,backtestable_candidate_window,506,296,58.5,133,26.28,114,22.53
2017-07-03,backtestable_candidate_window,507,297,58.58,134,26.43,115,22.68
2017-08-01,backtestable_candidate_window,507,297,58.58,134,26.43,115,22.68
2017-09-01,backtestable_candidate_window,507,297,58.58,134,26.43,115,22.68
2017-10-03,backtestable_candidate_window,507,301,59.37,135,26.63,114,22.49
2017-11-01,backtestable_candidate_window,507,302,59.57,136,26.82,115,22.68
2017-12-01,backtestable_candidate_window,507,303,59.76,139,27.42,118,23.27
2018-01-02,backtestable_candidate_window,507,303,59.76,139,27.42,118,23.27
2018-02-01,backtestable_candidate_window,507,303,59.76,139,27.42,118,23.27
2018-03-01,backtestable_candidate_window,508,303,59.65,140,27.56,118,23.23
2018-04-02,backtestable_candidate_window,508,309,60.83,145,28.54,125,24.61
2018-05-02,backtestable_candidate_window,508,309,60.83,145,28.54,125,24.61
2018-06-01,backtestable_candidate_window,508,309,60.83,145,28.54,125,24.61
2018-07-02,backtestable_candidate_window,509,308,60.51,146,28.68,125,24.56
2018-08-01,backtestable_candidate_window,509,308,60.51,146,28.68,125,24.56
2018-09-03,backtestable_candidate_window,509,309,60.71,147,28.88,126,24.75
2018-10-01,backtestable_candidate_window,510,312,61.18,153,30.0,130,25.49
2018-11-01,backtestable_candidate_window,510,312,61.18,153,30.0,130,25.49
2018-12-03,backtestable_candidate_window,510,312,61.18,153,30.0,130,25.49
2019-01-02,backtestable_candidate_window,511,317,62.04,157,30.72,134,26.22
2019-02-01,backtestable_candidate_window,511,318,62.23,159,31.12,135,26.42
2019-03-01,backtestable_candidate_window,511,318,62.23,159,31.12,135,26.42
2019-04-01,backtestable_candidate_window,513,322,62.77,167,32.55,143,27.88
2019-05-02,backtestable_candidate_window,513,322,62.77,167,32.55,143,27.88
2019-06-03,backtestable_candidate_window,513,322,62.77,167,32.55,143,27.88
2019-07-01,backtestable_candidate_window,513,323,62.96,168,32.75,144,28.07
2019-08-01,backtestable_candidate_window,513,323,62.96,168,32.75,144,28.07
2019-09-03,backtestable_candidate_window,513,323,62.96,168,32.75,144,28.07
2019-10-01,backtestable_candidate_window,513,329,64.13,177,34.5,153,29.82
2019-11-01,backtestable_candidate_window,513,329,64.13,177,34.5,153,29.82
2019-12-02,backtestable_candidate_window,513,329,64.13,177,34.5,153,29.82
2020-01-01,backtestable_candidate_window,514,334,64.98,181,35.21,158,30.74
2020-02-03,backtestable_candidate_window,514,333,64.79,182,35.41,158,30.74
2020-03-02,backtestable_candidate_window,514,333,64.79,182,35.41,158,30.74
2020-04-01,backtestable_candidate_window,514,332,64.59,183,35.6,158,30.74
2020-05-04,backtestable_candidate_window,514,332,64.59,183,35.6,158,30.74
2020-06-01,backtestable_candidate_window,514,332,64.59,183,35.6,158,30.74
2020-07-01,backtestable_candidate_window,514,336,65.37,178,34.63,154,29.96
2020-08-03,backtestable_candidate_window,515,337,65.44,178,34.56,154,29.9
2020-09-01,backtestable_candidate_window,515,337,65.44,178,34.56,154,29.9
