snapshot_idx,snapshot_date,total_constituents,resolved_count,resolved_frac,price_covered_count,price_covered_frac,unflagged_count,unflagged_frac,joint_coverage_count,joint_coverage_frac,g2c_baseline_frac,m1_joint_frac,delta_from_g2c_pp,delta_from_m1_pp,is_resolved_gte_80
1,2016-01-04,500,432,86.4,410,82.0,425,85.0,410,82.0,14.77,82.04,67.23,-0.04,True
2,2016-02-01,500,432,86.4,411,82.2,425,85.0,411,82.2,14.97,82.24,67.23,-0.04,True
3,2016-03-01,500,432,86.4,411,82.2,425,85.0,411,82.2,14.97,82.24,67.23,-0.04,True
4,2016-04-01,501,437,87.23,417,83.23,430,85.83,417,83.23,19.09,83.1,64.14,0.13,True
5,2016-05-02,501,438,87.43,418,83.43,431,86.03,418,83.43,19.09,83.3,64.34,0.13,True
6,2016-06-01,501,438,87.43,418,83.43,431,86.03,418,83.43,19.09,83.3,64.34,0.13,True
7,2016-07-01,501,438,87.43,419,83.63,431,86.03,419,83.63,19.09,83.5,64.54,0.13,True
8,2016-08-01,501,438,87.43,419,83.63,431,86.03,419,83.63,19.09,83.5,64.54,0.13,True
9,2016-09-01,501,438,87.43,419,83.63,431,86.03,419,83.63,19.09,83.5,64.54,0.13,True
10,2016-10-03,501,438,87.43,417,83.23,429,85.63,417,83.23,19.6,82.77,63.63,0.46,True
11,2016-11-01,501,438,87.43,418,83.43,429,85.63,418,83.43,19.6,82.97,63.83,0.46,True
12,2016-12-01,501,439,87.62,419,83.63,430,85.83,419,83.63,19.8,83.17,63.83,0.46,True
13,2017-01-02,501,439,87.62,419,83.63,430,85.83,419,83.63,19.8,83.17,63.83,0.46,True
14,2017-02-01,501,440,87.82,421,84.03,432,86.23,421,84.03,20.2,83.56,63.83,0.47,True
15,2017-03-01,501,441,88.02,421,84.03,433,86.43,421,84.03,20.2,83.56,63.83,0.47,True
16,2017-04-03,501,445,88.82,426,85.03,437,87.23,426,85.03,21.94,84.19,63.09,0.84,True
17,2017-05-02,501,445,88.82,426,85.03,437,87.23,426,85.03,21.94,84.19,63.09,0.84,True
18,2017-06-01,501,445,88.82,428,85.43,439,87.62,428,85.43,22.53,84.58,62.9,0.85,True
19,2017-07-03,501,445,88.82,428,85.43,439,87.62,428,85.43,22.68,84.62,62.75,0.81,True
20,2017-08-01,501,445,88.82,427,85.23,439,87.62,427,85.23,22.68,84.42,62.55,0.81,True
21,2017-09-01,501,445,88.82,427,85.23,439,87.62,427,85.23,22.68,84.42,62.55,0.81,True
22,2017-10-03,501,454,90.62,434,86.63,447,89.22,434,86.63,22.49,85.8,64.14,0.83,True
23,2017-11-01,501,455,90.82,435,86.83,448,89.42,435,86.83,22.68,86.0,64.15,0.83,True
24,2017-12-01,501,456,91.02,436,87.03,449,89.62,436,87.03,23.27,86.19,63.76,0.84,True
25,2018-01-02,501,456,91.02,436,87.03,449,89.62,436,87.03,23.27,86.19,63.76,0.84,True
26,2018-02-01,501,456,91.02,436,87.03,449,89.62,436,87.03,23.27,86.19,63.76,0.84,True
27,2018-03-01,501,456,91.02,435,86.83,449,89.62,435,86.83,23.23,86.02,63.6,0.81,True
28,2018-04-02,501,457,91.22,438,87.43,452,90.22,438,87.43,24.61,86.61,62.82,0.82,True
29,2018-05-02,501,457,91.22,438,87.43,452,90.22,438,87.43,24.61,86.61,62.82,0.82,True
30,2018-06-01,501,457,91.22,437,87.23,452,90.22,437,87.23,24.61,86.42,62.62,0.81,True
31,2018-07-02,501,456,91.02,436,87.03,451,90.02,436,87.03,24.56,86.25,62.47,0.78,True
32,2018-08-01,501,456,91.02,436,87.03,451,90.02,436,87.03,24.56,86.25,62.47,0.78,True
33,2018-09-03,501,457,91.22,437,87.23,452,90.22,437,87.23,24.75,86.44,62.48,0.79,True
34,2018-10-01,501,456,91.02,437,87.23,452,90.22,437,87.23,25.49,86.47,61.74,0.76,True
35,2018-11-01,501,456,91.02,437,87.23,452,90.22,437,87.23,25.49,86.47,61.74,0.76,True
36,2018-12-03,501,456,91.02,437,87.23,452,90.22,437,87.23,25.49,86.47,61.74,0.76,True
37,2019-01-02,501,460,91.82,441,88.02,456,91.02,441,88.02,26.22,87.28,61.8,0.74,True
38,2019-02-01,501,462,92.22,445,88.82,458,91.42,445,88.82,26.42,88.06,62.4,0.76,True
39,2019-03-01,501,462,92.22,445,88.82,458,91.42,445,88.82,26.42,88.06,62.4,0.76,True
40,2019-04-01,501,464,92.61,447,89.22,460,91.82,447,89.22,27.88,88.3,61.34,0.92,True
41,2019-05-02,501,465,92.81,448,89.42,460,91.82,448,89.42,27.88,88.5,61.54,0.92,True
42,2019-06-03,501,465,92.81,448,89.42,460,91.82,448,89.42,27.88,88.5,61.54,0.92,True
43,2019-07-01,501,466,93.01,449,89.62,462,92.22,449,89.62,28.07,88.69,61.55,0.93,True
44,2019-08-01,501,466,93.01,449,89.62,462,92.22,449,89.62,28.07,88.5,61.55,1.12,True
45,2019-09-03,501,466,93.01,449,89.62,462,92.22,449,89.62,28.07,88.5,61.55,1.12,True
46,2019-10-01,501,470,93.81,453,90.42,467,93.21,453,90.42,29.82,89.28,60.6,1.14,True
47,2019-11-01,501,470,93.81,453,90.42,467,93.21,453,90.42,29.82,89.28,60.6,1.14,True
48,2019-12-02,501,470,93.81,453,90.42,467,93.21,453,90.42,29.82,89.28,60.6,1.14,True
49,2020-01-01,501,472,94.21,456,91.02,470,93.81,456,91.02,30.74,89.88,60.28,1.14,True
50,2020-02-03,501,472,94.21,456,91.02,470,93.81,456,91.02,30.74,89.88,60.28,1.14,True
51,2020-03-02,501,472,94.21,455,90.82,470,93.81,455,90.82,30.74,89.69,60.08,1.13,True
52,2020-04-01,501,472,94.21,455,90.82,470,93.81,455,90.82,30.74,89.69,60.08,1.13,True
