snapshot_idx,snapshot_date,constituent_count,is_valid_range_490_515,resolved_count,price_covered_count,unflagged_count,joint_covered_count
1,2016-01-04,500,True,432,410,425,410
2,2016-02-01,500,True,432,411,425,411
3,2016-03-01,500,True,432,411,425,411
4,2016-04-01,501,True,437,417,430,417
5,2016-05-02,501,True,438,418,431,418
6,2016-06-01,501,True,438,418,431,418
7,2016-07-01,501,True,438,419,431,419
8,2016-08-01,501,True,438,419,431,419
9,2016-09-01,501,True,438,419,431,419
10,2016-10-03,501,True,438,417,429,417
11,2016-11-01,501,True,438,418,429,418
12,2016-12-01,501,True,439,419,430,419
13,2017-01-02,501,True,439,419,430,419
14,2017-02-01,501,True,440,421,432,421
15,2017-03-01,501,True,441,421,433,421
16,2017-04-03,501,True,445,426,437,426
17,2017-05-02,501,True,445,426,437,426
18,2017-06-01,501,True,445,428,439,428
19,2017-07-03,501,True,445,428,439,428
20,2017-08-01,501,True,445,427,439,427
21,2017-09-01,501,True,445,427,439,427
22,2017-10-03,501,True,454,434,447,434
23,2017-11-01,501,True,455,435,448,435
24,2017-12-01,501,True,456,436,449,436
25,2018-01-02,501,True,456,436,449,436
26,2018-02-01,501,True,456,436,449,436
27,2018-03-01,501,True,456,435,449,435
28,2018-04-02,501,True,457,438,452,438
29,2018-05-02,501,True,457,438,452,438
30,2018-06-01,501,True,457,437,452,437
31,2018-07-02,501,True,456,436,451,436
32,2018-08-01,501,True,456,436,451,436
33,2018-09-03,501,True,457,437,452,437
34,2018-10-01,501,True,456,437,452,437
35,2018-11-01,501,True,456,437,452,437
36,2018-12-03,501,True,456,437,452,437
37,2019-01-02,501,True,460,441,456,441
38,2019-02-01,501,True,462,445,458,445
39,2019-03-01,501,True,462,445,458,445
40,2019-04-01,501,True,464,447,460,447
41,2019-05-02,501,True,465,448,460,448
42,2019-06-03,501,True,465,448,460,448
43,2019-07-01,501,True,466,449,462,449
44,2019-08-01,501,True,466,449,462,449
45,2019-09-03,501,True,466,449,462,449
46,2019-10-01,501,True,470,453,467,453
47,2019-11-01,501,True,470,453,467,453
48,2019-12-02,501,True,470,453,467,453
49,2020-01-01,501,True,472,456,470,456
50,2020-02-03,501,True,472,456,470,456
51,2020-03-02,501,True,472,455,470,455
52,2020-04-01,501,True,472,455,470,455
53,2020-05-04,501,True,472,455,470,455
54,2020-06-01,501,True,472,455,470,455
55,2020-07-01,501,True,475,459,474,459
56,2020-08-03,501,True,475,459,474,459
57,2020-09-01,501,True,475,458,474,458
