snapshot_idx,snapshot_date,scrip_name,symbol,status,is_price_covered,is_unflagged,is_joint_covered
1,2016-01-04,3M India Ltd.,3MINDIA,auto,True,True,True
1,2016-01-04,ABB India Ltd.,ABB,auto,True,True,True
1,2016-01-04,ABG Shipyard Ltd.,,unresolved,False,False,False
1,2016-01-04,ACC Ltd.,ACC,auto,True,True,True
1,2016-01-04,AIA Engineering Ltd.,AIAENG,auto,True,True,True
1,2016-01-04,Aarti Industries Ltd.,AARTIIND,auto,True,True,True
1,2016-01-04,Aban Offshore Ltd.,ABAN,auto,True,True,True
1,2016-01-04,Adani Ports and Special Economic Zone Ltd.,ADANIPORTS,auto,True,True,True
1,2016-01-04,Adani Power Ltd.,ADANIPOWER,auto,True,True,True
1,2016-01-04,Adlabs Entertainment Ltd.,,unresolved,False,False,False
1,2016-01-04,Advanta Ltd.,,unresolved,False,False,False
1,2016-01-04,Agro Tech Foods Ltd.,,unresolved,False,False,False
1,2016-01-04,Ajanta Pharmaceuticals Ltd.,AJANTPHARM,approved,True,True,True
1,2016-01-04,Akzo Nobel India Ltd.,AKZOINDIA,approved,True,True,True
1,2016-01-04,Alembic Pharmaceuticals Ltd.,APLLTD,auto,True,True,True
1,2016-01-04,Allahabad Bank,,unresolved,False,False,False
1,2016-01-04,Allcargo Logistics Ltd.,ALLCARGO,auto,True,True,True
1,2016-01-04,Alok Industries Ltd.,ALOKINDS,auto,False,False,False
1,2016-01-04,Alstom India Ltd.,GEPIL,approved,False,True,False
1,2016-01-04,Alstom T&D India Ltd.,GVT&D,approved,False,True,False
1,2016-01-04,Amara Raja Batteries Ltd.,AMARAJABAT,approved,True,True,True
1,2016-01-04,Ambuja Cements Ltd.,AMBUJACEM,auto,True,True,True
1,2016-01-04,Amtek Auto Ltd.,,unresolved,False,False,False
1,2016-01-04,Amtek India Ltd.,AMTEKINDIA,approved,False,True,False
1,2016-01-04,Anant Raj Ltd.,ANANTRAJ,auto,True,True,True
1,2016-01-04,Andhra Bank,,unresolved,False,False,False
1,2016-01-04,Apar Industries Ltd.,APARINDS,auto,True,True,True
1,2016-01-04,Apollo Hospitals Enterprises Ltd.,APOLLOHOSP,approved,True,True,True
1,2016-01-04,Apollo Tyres Ltd.,APOLLOTYRE,auto,True,True,True
1,2016-01-04,Arvind Ltd,ARVIND,approved,True,True,True
1,2016-01-04,Asahi India Glass Ltd.,ASAHIINDIA,auto,True,True,True
1,2016-01-04,Ashok Leyland Ltd.,ASHOKLEY,auto,True,True,True
1,2016-01-04,Ashoka Buildcon Ltd.,ASHOKA,auto,True,True,True
1,2016-01-04,Asian Paints Ltd.,ASIANPAINT,auto,True,True,True
1,2016-01-04,AstraZenca Pharma India Ltd.,,unresolved,False,False,False
1,2016-01-04,Astral Poly Technik Ltd.,ASTRAL,approved,True,True,True
1,2016-01-04,Atul Ltd.,ATUL,auto,True,True,True
1,2016-01-04,Aurobindo Pharma Ltd.,AUROPHARMA,auto,True,True,True
1,2016-01-04,Automotive Axles Ltd.,AUTOAXLES,approved,True,True,True
1,2016-01-04,Axis Bank Ltd.,AXISBANK,auto,True,True,True
1,2016-01-04,BASF India Ltd.,BASF,auto,True,True,True
1,2016-01-04,BEML Ltd.,BEML,auto,True,True,True
1,2016-01-04,BF Utilities Ltd.,BFUTILITIE,auto,True,True,True
1,2016-01-04,Bajaj Auto Ltd.,BAJAJ-AUTO,auto,True,True,True
1,2016-01-04,Bajaj Corp Ltd.,BAJAJCON,approved,False,True,False
1,2016-01-04,Bajaj Electricals Ltd,BAJAJELEC,auto,True,True,True
1,2016-01-04,Bajaj Finance Ltd.,BAJFINANCE,auto,True,True,True
1,2016-01-04,Bajaj Finserv Ltd.,BAJAJFINSV,auto,True,True,True
1,2016-01-04,Bajaj Hindusthan Ltd.,BAJAJHIND,approved,True,True,True
1,2016-01-04,Bajaj Holdings & Investment Ltd.,BAJAJHLDNG,auto,True,True,True
1,2016-01-04,Balkrishna Industries Ltd.,BALKRISIND,auto,True,True,True
1,2016-01-04,Ballarpur Industries Ltd.,,unresolved,False,False,False
1,2016-01-04,Balmer Lawrie & Co. Ltd.,BALMLAWRIE,auto,True,True,True
1,2016-01-04,Balrampur Chini Mills Ltd.,BALRAMCHIN,auto,True,True,True
1,2016-01-04,Bank of Baroda,BANKBARODA,auto,True,True,True
1,2016-01-04,Bank of India,BANKINDIA,approved,True,True,True
1,2016-01-04,Bata India Ltd.,BATAINDIA,auto,True,True,True
1,2016-01-04,Berger Paints India Ltd.,BERGEPAINT,approved,True,True,True
1,2016-01-04,Bharat Electronics Ltd.,BEL,auto,True,True,True
1,2016-01-04,Bharat Forge Ltd.,BHARATFORG,approved,True,True,True
1,2016-01-04,Bharat Heavy Electricals Ltd.,BHEL,auto,True,True,True
1,2016-01-04,Bharat Petroleum Corporation Ltd.,BPCL,auto,True,True,True
1,2016-01-04,Bharti Airtel Ltd.,BHARTIARTL,auto,True,True,True
1,2016-01-04,Bharti Infratel Ltd.,INFRATEL,approved,True,True,True
1,2016-01-04,Bhushan Steel Ltd.,,unresolved,False,False,False
1,2016-01-04,Biocon Ltd.,BIOCON,auto,True,True,True
1,2016-01-04,Birla Corporation Ltd.,BIRLACORPN,auto,True,True,True
1,2016-01-04,Blue Dart Express Ltd.,BLUEDART,auto,True,True,True
1,2016-01-04,Blue Star Ltd.,BLUESTARCO,auto,True,True,True
1,2016-01-04,Bombay Burmah Trading Corporation Ltd.,BBTC,approved,True,True,True
1,2016-01-04,Bombay Dyeing & Manufacturing Co. Ltd.,BOMDYEING,approved,True,True,True
1,2016-01-04,Bosch Ltd.,BOSCHLTD,auto,True,True,True
1,2016-01-04,Brigade Enterprises Ltd.,BRIGADE,auto,True,True,True
1,2016-01-04,Britannia Industries Ltd.,BRITANNIA,auto,True,True,True
1,2016-01-04,CARE Ltd.,CARERATING,approved,True,True,True
1,2016-01-04,CESC Ltd.,CESC,auto,True,True,True
1,2016-01-04,CRISIL Ltd.,CRISIL,auto,True,True,True
1,2016-01-04,Cadila Healthcare Ltd.,CADILAHC,approved,True,True,True
1,2016-01-04,Cairn India Ltd.,,unresolved,False,False,False
1,2016-01-04,Camlin Fine Sciences Ltd.,CAMLINFINE,auto,True,True,True
1,2016-01-04,Can Fin Homes Ltd.,CANFINHOME,auto,True,True,True
1,2016-01-04,Canara Bank,CANBK,auto,True,True,True
1,2016-01-04,Capital First Ltd.,,unresolved,False,False,False
1,2016-01-04,Carborundum Universal Ltd.,CARBORUNIV,auto,True,True,True
1,2016-01-04,Castrol India Ltd.,CASTROLIND,auto,True,True,True
1,2016-01-04,Ceat Ltd.,CEATLTD,auto,True,True,True
1,2016-01-04,Central Bank of India,CENTRALBK,auto,True,True,True
1,2016-01-04,Century Enka Ltd.,CENTENKA,auto,True,True,True
1,2016-01-04,Century Plyboards (India) Ltd.,CENTURYPLY,auto,True,True,True
1,2016-01-04,Century Textile & Industries Ltd.,,unresolved,False,False,False
1,2016-01-04,Chambal Fertilizers & Chemicals Ltd.,CHAMBLFERT,auto,True,True,True
1,2016-01-04,Chennai Petroleum Corporation Ltd.,CHENNPETRO,auto,True,True,True
1,2016-01-04,Cholamandalam Investment and Finance Company Ltd.,CHOLAFIN,auto,True,True,True
1,2016-01-04,Cipla Ltd.,CIPLA,auto,True,True,True
1,2016-01-04,City Union Bank Ltd.,CUB,auto,True,True,True
1,2016-01-04,Clariant Chemicals (India) Ltd.,,unresolved,False,False,False
1,2016-01-04,Coal India Ltd.,COALINDIA,auto,True,True,True
1,2016-01-04,Colgate Palmolive (India) Ltd.,COLPAL,auto,True,True,True
1,2016-01-04,Container Corporation of India Ltd.,CONCOR,auto,True,True,True
1,2016-01-04,Coromandel International Ltd.,COROMANDEL,auto,True,True,True
1,2016-01-04,Corporation Bank,CORPBANK,approved,True,True,True
1,2016-01-04,Cox & Kings Ltd.,,unresolved,False,False,False
1,2016-01-04,Cummins India Ltd.,CUMMINSIND,auto,True,True,True
1,2016-01-04,D B Realty Ltd.,DBREALTY,approved,True,True,True
1,2016-01-04,D.B.Corp Ltd.,DBCORP,auto,True,True,True
1,2016-01-04,DCM Shriram Consolidated Ltd.,DCMSHRIRAM,approved,True,True,True
1,2016-01-04,DLF Ltd.,DLF,auto,True,True,True
1,2016-01-04,Dabur India Ltd.,DABUR,auto,True,True,True
1,2016-01-04,Deepak Fertilisers & Petrochemicals Corp. Ltd.,DEEPAKFERT,approved,True,True,True
1,2016-01-04,Delta Corp Ltd.,DELTACORP,auto,True,True,True
1,2016-01-04,Den Networks Ltd.,DEN,auto,True,True,True
1,2016-01-04,Dena Bank,,unresolved,False,False,False
1,2016-01-04,Development Credit Bank Ltd,DCBBANK,approved,True,True,True
1,2016-01-04,Dewan Housing Finance Corporation Ltd.,DHFL,approved,True,True,True
1,2016-01-04,Dhanlaxmi Bank Ltd.,DHANBANK,auto,True,True,True
1,2016-01-04,Dishman Pharmaceuticals & Chemicals Ltd.,DISHMAN,approved,True,True,True
1,2016-01-04,Divi's Laboratories Ltd.,DIVISLAB,auto,True,True,True
1,2016-01-04,Dr. Reddy's Laboratories Ltd.,DRREDDY,auto,True,True,True
1,2016-01-04,Dredging Corporation of India Ltd.,DREDGECORP,auto,True,True,True
1,2016-01-04,Dynamatic Technologies Ltd.,DYNAMATECH,auto,True,True,True
1,2016-01-04,E.I.D. Parry (India) Ltd.,EIDPARRY,approved,True,True,True
1,2016-01-04,EIH Ltd.,EIHOTEL,auto,True,True,True
1,2016-01-04,ESAB India Ltd.,ESABINDIA,auto,True,True,True
1,2016-01-04,Edelweiss Financial Services Ltd.,EDELWEISS,auto,True,True,True
1,2016-01-04,Eicher Motors Ltd.,EICHERMOT,approved,True,True,True
1,2016-01-04,Electrosteel Castings Ltd.,ELECTCAST,approved,True,True,True
1,2016-01-04,Elgi Equipments Ltd.,ELGIEQUIP,auto,True,True,True
1,2016-01-04,Emami Ltd.,EMAMILTD,auto,True,True,True
1,2016-01-04,Engineers India Ltd.,ENGINERSIN,auto,True,True,True
1,2016-01-04,Entertainment Network India Ltd.,ENIL,auto,True,True,True
1,2016-01-04,Eros Intl Media Ltd.,,unresolved,False,False,False
1,2016-01-04,Escorts Ltd.,ESCORTS,approved,True,True,True
1,2016-01-04,Ess Dee Aluminium Ltd.,,unresolved,False,False,False
1,2016-01-04,Essel Propack Ltd.,,unresolved,False,False,False
1,2016-01-04,Eveready Industries India Ltd.,EVEREADY,approved,True,True,True
1,2016-01-04,Exide Industries Ltd.,EXIDEIND,approved,True,True,True
1,2016-01-04,FDC Ltd.,FDC,auto,True,True,True
1,2016-01-04,Fag Bearings India Ltd.,FAGBEARING,approved,True,True,True
1,2016-01-04,Federal Bank Ltd.,FEDERALBNK,approved,True,True,True
1,2016-01-04,Federal-Mogul Goetze (India) Ltd.,FMGOETZE,auto,True,True,True
1,2016-01-04,Financial Technologies (India) Ltd.,,unresolved,False,False,False
1,2016-01-04,Finolex Cables Ltd.,FINCABLES,auto,True,True,True
1,2016-01-04,Finolex Industries Ltd.,FINPIPE,auto,True,True,True
1,2016-01-04,Firstsource Solutions Ltd.,FSL,auto,True,True,True
1,2016-01-04,Flexituff International Ltd.,FLEXITUFF,approved,True,True,True
1,2016-01-04,Fortis Healthcare Ltd.,FORTIS,auto,True,True,True
1,2016-01-04,Future Consumer Enterprise Ltd.,FCONSUMER,approved,False,True,False
1,2016-01-04,Future Lifestyle Fashions Ltd.,FLFL,auto,True,True,True
1,2016-01-04,GAIL (India) Ltd.,GAIL,auto,True,True,True
1,2016-01-04,GHCL Ltd.,GHCL,approved,True,True,True
1,2016-01-04,GMR Infrastructure Ltd.,GMRINFRA,approved,True,True,True
1,2016-01-04,GTL Infrastructure Ltd.,GTLINFRA,auto,True,True,True
1,2016-01-04,GVK Power & Infrastructures Ltd.,GVKPIL,approved,True,True,True
1,2016-01-04,Gabriel India Ltd.,GABRIEL,auto,True,True,True
1,2016-01-04,Gammon Infrastructure Projects Ltd.,,unresolved,False,False,False
