symbol,category,held_in_run_a,held_in_run_b,pnl_in_run_a,pnl_in_run_b,pnl_delta_b_minus_a
GRAPHITE,held_in_both,True,True,1344036.35,-85112.4,-1429148.75
VENKEYS,held_in_a_only,True,False,1164126.0,0.0,-1164126.0
VMART,held_in_both,True,True,596845.5,-19147.0,-615992.5
BHARATRAS,held_in_both,True,True,446501.8,5239.0,-441262.8
JSL,held_in_both,True,True,343114.2,-71074.5,-414188.7
HSCL,held_in_a_only,True,False,387816.8,0.0,-387816.8
PCJEWELLER,held_in_b_only,False,True,0.0,-292600.0,-292600.0
TEAMLEASE,held_in_both,True,True,362826.35,93394.0,-269432.35
ADANIENT,held_in_b_only,False,True,0.0,-263019.0,-263019.0
SUDARSCHEM,held_in_both,True,True,323679.0,92284.65,-231394.35
ADANIGREEN,held_in_both,True,True,1130575.25,900722.3,-229852.95
ORIENTELEC,held_in_b_only,False,True,0.0,-219121.5,-219121.5
LINDEINDIA,held_in_b_only,False,True,0.0,-211344.0,-211344.0
GMMPFAUDLR,held_in_both,True,True,455797.7,250868.4,-204929.3
BRIGADE,held_in_both,True,True,26738.1,-165438.5,-192176.6
WELCORP,held_in_b_only,False,True,0.0,-173827.8,-173827.8
TATAGLOBAL,held_in_b_only,False,True,0.0,-172194.5,-172194.5
GNFC,held_in_both,True,True,487009.7,319828.0,-167181.7
DIXON,held_in_both,True,True,592215.6,428197.9,-164017.7
DHANUKA,held_in_both,True,True,112703.5,-34147.9,-146851.4
VIPIND,held_in_both,True,True,221920.5,76828.0,-145092.5
LALPATHLAB,held_in_both,True,True,54524.0,-89445.0,-143969.0
TIMETECHNO,held_in_a_only,True,False,141677.0,0.0,-141677.0
GRANULES,held_in_both,True,True,613610.7,475623.2,-137987.5
PFIZER,held_in_both,True,True,22151.5,-112438.0,-134589.5
NH,held_in_both,True,True,-72903.6,-206410.4,-133506.8
BATAINDIA,held_in_both,True,True,432426.0,304968.0,-127458.0
BALRAMCHIN,held_in_both,True,True,228315.75,102243.0,-126072.75
DIVISLAB,held_in_both,True,True,582745.2,457666.3,-125078.9
RELINFRA,held_in_b_only,False,True,0.0,-118985.3,-118985.3
INDIAMART,held_in_both,True,True,617577.5,500286.8,-117290.7
IIFL,held_in_both,True,True,210425.0,94663.0,-115762.0
AFFLE,held_in_both,True,True,321784.35,221373.9,-100410.45
ESABINDIA,held_in_both,True,True,4437.2,-90840.0,-95277.2
ASTRAL,held_in_both,True,True,147673.68,53732.0,-93941.68
SHOPERSTOP,held_in_b_only,False,True,0.0,-91219.5,-91219.5
VBL,held_in_both,True,True,119896.0,31815.9,-88080.1
SHANKARA,held_in_b_only,False,True,0.0,-82956.0,-82956.0
HFCL,held_in_b_only,False,True,0.0,-80499.2,-80499.2
AAVAS,held_in_both,True,True,-34821.6,-111782.7,-76961.1
JUSTDIAL,held_in_both,True,True,-23622.0,-95898.6,-72276.6
GVKPIL,held_in_b_only,False,True,0.0,-71451.4,-71451.4
JBCHEPHARM,held_in_both,True,True,541310.7,474500.95,-66809.75
TITAN,held_in_both,True,True,-21231.9,-85839.8,-64607.9
FINEORG,held_in_both,True,True,380864.0,316772.4,-64091.6
MRF,held_in_b_only,False,True,0.0,-60088.0,-60088.0
JINDALSTEL,held_in_both,True,True,-175820.6,-232526.65,-56706.05
BIOCON,held_in_both,True,True,89878.87,35201.34,-54677.53
GRSE,held_in_a_only,True,False,54068.75,0.0,-54068.75
CEATLTD,held_in_b_only,False,True,0.0,-53327.3,-53327.3
TORNTPHARM,held_in_both,True,True,172322.8,122844.0,-49478.8
BAJAJHIND,held_in_b_only,False,True,0.0,-47120.4,-47120.4
NAVINFLUOR,held_in_both,True,True,64794.0,19141.75,-45652.25
SUNTV,held_in_b_only,False,True,0.0,-45202.5,-45202.5
SUVEN,held_in_b_only,False,True,0.0,-43750.3,-43750.3
BERGEPAINT,held_in_both,True,True,128810.55,85245.55,-43565.0
AARTIIND,held_in_both,True,True,26222.45,-16581.6,-42804.05
ITI,held_in_both,True,True,-35072.05,-76307.55,-41235.5
KOLTEPATIL,held_in_both,True,True,-87203.55,-128069.5,-40865.95
LAURUSLABS,held_in_both,True,True,234857.6,195289.2,-39568.4
ICICIBANK,held_in_both,True,True,-34739.3,-73152.0,-38412.7
LAXMIMACH,held_in_b_only,False,True,0.0,-38092.5,-38092.5
IPCALAB,held_in_both,True,True,513690.6,476993.25,-36697.35
MINDACORP,held_in_both,True,True,13308.75,-15156.0,-28464.75
AMBER,held_in_both,True,True,292134.0,264653.0,-27481.0
HINDUNILVR,held_in_both,True,True,-47409.6,-74658.9,-27249.3
NAUKRI,held_in_both,True,True,166996.2,141465.0,-25531.2
BALMLAWRIE,held_in_both,True,True,-28779.42,-52157.29,-23377.88
POLYMED,held_in_both,True,True,129024.0,107424.0,-21600.0
PIIND,held_in_both,True,True,60382.5,39294.5,-21088.0
VINATIORGA,held_in_both,True,True,169834.25,153380.38,-16453.88
GIPCL,held_in_b_only,False,True,0.0,-14617.5,-14617.5
CANFINHOME,held_in_both,True,True,-94742.4,-107238.4,-12496.0
GPPL,held_in_both,True,True,-4062.5,-15625.0,-11562.5
KRBL,held_in_both,True,True,-142485.15,-152771.55,-10286.4
CADILAHC,held_in_b_only,False,True,0.0,-10258.2,-10258.2
AJANTPHARM,held_in_both,True,True,70210.0,61596.0,-8614.0
ICICIGI,held_in_both,True,True,91273.2,83336.4,-7936.8
PERSISTENT,held_in_b_only,False,True,0.0,-7784.0,-7784.0
DMART,held_in_both,True,True,135800.75,128177.55,-7623.2
ESCORTS,held_in_both,True,True,570410.7,563122.3,-7288.4
MINDTREE,held_in_both,True,True,-166592.4,-172239.6,-5647.2
IBREALEST,held_in_both,True,True,-105386.1,-109348.2,-3962.1
JUBLFOOD,held_in_both,True,True,-7641.0,-11499.0,-3858.0
INDIANB,held_in_both,True,True,126225.0,122846.25,-3378.75
BHARTIARTL,held_in_both,True,True,10720.0,7870.0,-2850.0
M&MFIN,held_in_both,True,True,51129.9,48319.1,-2810.8
RADICO,held_in_both,True,True,22695.45,20048.4,-2647.05
JAICORPLTD,held_in_both,True,True,-249163.8,-251788.8,-2625.0
INFY,held_in_both,True,True,26585.65,24293.25,-2292.4
RELIANCE,held_in_both,True,True,-107900.0,-109900.6,-2000.6
FINPIPE,held_in_both,True,True,183681.55,181700.8,-1980.75
SWANENERGY,held_in_both,True,True,-12586.0,-14396.4,-1810.4
APOLLOHOSP,held_in_both,True,True,-40656.0,-41809.35,-1153.35
GUJALKALI,held_in_both,True,True,-20620.5,-21665.1,-1044.6
M&M,held_in_both,True,True,-22744.42,-23578.75,-834.33
KEI,held_in_both,True,True,-69078.05,-69909.9,-831.85
TIINDIA,held_in_both,True,True,-77436.4,-78026.3,-589.9
ASHOKLEY,held_in_both,True,True,-25406.65,-25749.15,-342.5
AMBUJACEM,held_in_both,True,True,-20892.0,-21180.0,-288.0
APLLTD,held_in_both,True,True,909.0,705.0,-204.0
GLAXO,held_in_both,True,True,-12954.6,-13134.52,-179.92
JUBILANT,held_in_both,True,True,-58820.0,-58993.0,-173.0
ABB,held_in_both,True,True,-13502.0,-13674.0,-172.0
INDIACEM,held_in_both,True,True,-22758.7,-22893.0,-134.3
UBL,held_in_both,True,True,-48031.5,-48150.0,-118.5
MOIL,held_in_both,True,True,-18975.0,-19027.5,-52.5
SUPREMEIND,held_in_both,True,True,628.95,622.65,-6.3
KANSAINER,held_in_both,True,True,-10334.1,-10334.1,0.0
KSCL,held_in_both,True,True,-10864.0,-10864.0,0.0
RENUKA,held_in_both,True,True,-62499.6,-62499.6,0.0
OIL,held_in_both,True,True,-58750.0,-58750.0,0.0
PAGEIND,held_in_both,True,True,20775.3,20775.3,0.0
GSFC,held_in_both,True,True,-94040.1,-94040.1,0.0
SUZLON,held_in_both,True,True,-94564.65,-94564.65,0.0
ATUL,held_in_both,True,True,-72051.0,-72051.0,0.0
TORNTPOWER,held_in_both,True,True,-47586.9,-47586.9,0.0
SUNDARMFIN,held_in_both,True,True,-17457.3,-17457.3,0.0
PIDILITIND,held_in_both,True,True,338.0,350.0,12.0
MFSL,held_in_both,True,True,31760.05,31868.2,108.15
FCONSUMER,held_in_both,True,True,-3895.85,-3772.3,123.55
RAJESHEXPO,held_in_both,True,True,-12884.25,-12758.55,125.7
EMAMILTD,held_in_both,True,True,-14705.0,-14552.0,153.0
HCLTECH,held_in_both,True,True,-21951.5,-21715.0,236.5
SUNPHARMA,held_in_both,True,True,-31951.5,-31638.25,313.25
MARICO,held_in_both,True,True,8751.6,9068.8,317.2
EICHERMOT,held_in_both,True,True,9465.6,9790.4,324.8
POWERGRID,held_in_both,True,True,-35270.5,-34891.0,379.5
LAOPALA,held_in_both,True,True,-38307.5,-37895.0,412.5
IGL,held_in_both,True,True,50348.39,50801.37,452.98
SRTRANSFIN,held_in_both,True,True,43505.8,43967.4,461.6
HINDALCO,held_in_both,True,True,119711.6,120246.4,534.8
