scrip_name,symbol,isin,similarity,flags,approval_note
Arvind Ltd,ARVIND,INE034A01011,1.0,first_token_mismatch;concurrent_alias_collision,Verified exact ISIN INE034A01011 in EQUITY_L; name similarity 1.00; official NSE constituent.
Automotive Axles Ltd.,AUTOAXLES,INE449A01011,1.0,listing_after_first_seen,Verified exact ISIN INE449A01011 in EQUITY_L; name similarity 1.00; official NSE constituent.
Bank of India,BANKINDIA,INE084A01016,1.0,concurrent_alias_collision,Verified exact ISIN INE084A01016 in EQUITY_L; name similarity 1.00; official NSE constituent.
Bharat Forge Ltd.,BHARATFORG,INE465A01025,1.0,listing_after_first_seen;concurrent_alias_collision,Verified exact ISIN INE465A01025 in EQUITY_L; name similarity 1.00; official NSE constituent.
Dalmia Bharat Ltd.,DALBHARAT,INE00R701025,1.0,listing_after_first_seen,Verified exact ISIN INE00R701025 in EQUITY_L; name similarity 1.00; official NSE constituent.
Eicher Motors Ltd.,EICHERMOT,INE066A01021,1.0,listing_after_first_seen;concurrent_alias_collision,Verified exact ISIN INE066A01021 in EQUITY_L; name similarity 1.00; official NSE constituent.
Electrosteel Castings Ltd.,ELECTCAST,INE086A01029,1.0,listing_after_first_seen,Verified exact ISIN INE086A01029 in EQUITY_L; name similarity 1.00; official NSE constituent.
Eveready Industries India Ltd.,EVEREADY,INE128A01029,1.0,listing_after_first_seen,Verified exact ISIN INE128A01029 in EQUITY_L; name similarity 1.00; official NSE constituent.
Exide Industries Ltd.,EXIDEIND,INE302A01020,1.0,listing_after_first_seen,Verified exact ISIN INE302A01020 in EQUITY_L; name similarity 1.00; official NSE constituent.
GHCL Ltd.,GHCL,INE539A01019,1.0,first_token_mismatch;listing_after_first_seen,Verified exact ISIN INE539A01019 in EQUITY_L; name similarity 1.00; official NSE constituent.
Gateway Distriparks Ltd.,GATEWAY,INE079J01017,1.0,listing_after_first_seen,Verified exact ISIN INE079J01017 in EQUITY_L; name similarity 1.00; official NSE constituent.
Gillette India Ltd.,GILLETTE,INE322A01010,1.0,listing_after_first_seen,Verified exact ISIN INE322A01010 in EQUITY_L; name similarity 1.00; official NSE constituent.
