scrip_name,status,review_action,symbol,isin,override_symbol,override_isin,override_evidence,approval_note
Titan Industries Ltd.,unresolved,approved,,,TITAN,INE280A01028,EQUITY_L: TITAN (Titan Company Limited); renamed from Titan Industries in 2013,Titan Industries renamed to Titan Company Limited; traded as TITAN on NSE
Housing Development Finance Corporation Ltd.,proposed,approved,AADHARHFC,INE883F01010,HDFC,INE001A01036,NSE Equity Archives: HDFC traded 2016-2020; merged with HDFC Bank in 2023,HDFC traded continuously as HDFC on NSE during backtest window; verified in daily Bhavcopies
Indiabulls Housing Finance Ltd.,proposed,approved,AADHARHFC,INE883F01010,IBULHSGFIN,INE148I01020,NSE Equity Archives: IBULHSGFIN traded 2016-2020; renamed to SAMMAANCAP in 2024,Indiabulls Housing Finance traded as IBULHSGFIN during backtest window; verified in daily Bhavcopies
Shriram Transport Finance Co. Ltd.,proposed,approved,SHRIRAMFIN,INE721A01047,SRTRANSFIN,INE721A01013,NSE Equity Archives: SRTRANSFIN traded 2016-2020; merged into Shriram Finance,Shriram Transport Finance traded as SRTRANSFIN during backtest window; verified in daily Bhavcopies
Idea Cellular Ltd.,unresolved,approved,,,IDEA,INE669E01016,EQUITY_L: IDEA (Vodafone Idea Limited); merged/renamed in 2018,Idea Cellular renamed to Vodafone Idea Limited; traded as IDEA on NSE
GMR Infrastructure Ltd.,unresolved,approved,,,GMRINFRA,INE776C01039,NSE Equity Archives: GMRINFRA traded 2016-2020; renamed to GMRAIRPORT in 2023,GMR Infrastructure traded as GMRINFRA during backtest window; verified in daily Bhavcopies
Cadila Healthcare Ltd.,unresolved,approved,,,CADILAHC,INE010B01027,NSE Equity Archives: CADILAHC traded 2016-2020; renamed to Zydus Lifesciences (ZYDUSLIFE),Cadila Healthcare traded as CADILAHC during backtest window; verified in daily Bhavcopies
Bharti Infratel Ltd.,unresolved,approved,,,INFRATEL,INE121J01017,NSE Equity Archives: INFRATEL traded 2016-2020; merged into Indus Towers (INDUSTOWER),Bharti Infratel traded as INFRATEL during backtest window; verified in daily Bhavcopies
Motherson Sumi Systems Ltd.,proposed,approved,MSUMI,INE0FS801015,MOTHERSUMI,INE775A01035,NSE Equity Archives: MOTHERSUMI traded 2016-2020; demerged/renamed to MOTHERSON,Motherson Sumi Systems traded as MOTHERSUMI during backtest window; verified in daily Bhavcopies
Piramal Enterprises Ltd.,unresolved,approved,,,PEL,INE140A01024,EQUITY_L: PEL (Piramal Enterprises Limited),Piramal Enterprises traded as PEL on NSE; verified in daily Bhavcopies
