snapshot_idx,snapshot_date,total_constituents,g2c_both_count,g2c_both_frac,a3_joint_frac,m1_mapped_count,m1_mapped_frac,m1_price_covered_count,m1_price_covered_frac,m1_unflagged_count,m1_unflagged_frac,m1_joint_count,m1_joint_frac,delta_from_g2c_pct,delta_from_a3_pct
1,2016-01-04,501,74,14.77,54.09,433,86.43,411,82.04,426,85.03,411,82.04,67.27,27.95
2,2016-02-01,501,75,14.97,54.29,433,86.43,412,82.24,426,85.03,412,82.24,67.27,27.95
3,2016-03-01,501,75,14.97,54.29,433,86.43,412,82.24,426,85.03,412,82.24,67.27,27.95
4,2016-04-01,503,96,19.09,55.67,439,87.28,418,83.1,432,85.88,418,83.1,64.01,27.43
5,2016-05-02,503,96,19.09,56.06,440,87.48,419,83.3,433,86.08,419,83.3,64.21,27.24
6,2016-06-01,503,96,19.09,56.06,440,87.48,419,83.3,433,86.08,419,83.3,64.21,27.24
7,2016-07-01,503,96,19.09,56.06,440,87.48,420,83.5,433,86.08,420,83.5,64.41,27.44
8,2016-08-01,503,96,19.09,56.06,440,87.48,420,83.5,433,86.08,420,83.5,64.41,27.44
9,2016-09-01,503,96,19.09,56.06,440,87.48,420,83.5,433,86.08,420,83.5,64.41,27.44
10,2016-10-03,505,99,19.6,56.04,441,87.33,418,82.77,432,85.54,418,82.77,63.17,26.73
11,2016-11-01,505,99,19.6,56.04,441,87.33,419,82.97,432,85.54,419,82.97,63.37,26.93
12,2016-12-01,505,100,19.8,56.24,442,87.52,420,83.17,433,85.74,420,83.17,63.37,26.93
13,2017-01-02,505,100,19.8,56.24,442,87.52,420,83.17,433,85.74,420,83.17,63.37,26.93
14,2017-02-01,505,102,20.2,56.44,443,87.72,422,83.56,435,86.14,422,83.56,63.36,27.12
15,2017-03-01,505,102,20.2,56.44,443,87.72,422,83.56,435,86.14,422,83.56,63.36,27.12
16,2017-04-03,506,111,21.94,57.51,448,88.54,426,84.19,440,86.96,426,84.19,62.25,26.68
17,2017-05-02,506,111,21.94,57.51,448,88.54,426,84.19,440,86.96,426,84.19,62.25,26.68
18,2017-06-01,506,114,22.53,57.91,448,88.54,428,84.58,442,87.35,428,84.58,62.05,26.67
19,2017-07-03,507,115,22.68,57.99,449,88.56,429,84.62,443,87.38,429,84.62,61.94,26.63
20,2017-08-01,507,115,22.68,57.99,449,88.56,428,84.42,443,87.38,428,84.42,61.74,26.43
21,2017-09-01,507,115,22.68,57.99,449,88.56,428,84.42,443,87.38,428,84.42,61.74,26.43
22,2017-10-03,507,114,22.49,58.78,458,90.34,435,85.8,451,88.95,435,85.8,63.31,27.02
23,2017-11-01,507,115,22.68,58.97,459,90.53,436,86.0,452,89.15,436,86.0,63.32,27.03
24,2017-12-01,507,118,23.27,59.17,460,90.73,437,86.19,453,89.35,437,86.19,62.92,27.02
25,2018-01-02,507,118,23.27,59.17,460,90.73,437,86.19,453,89.35,437,86.19,62.92,27.02
26,2018-02-01,507,118,23.27,59.17,460,90.73,437,86.19,453,89.35,437,86.19,62.92,27.02
27,2018-03-01,508,118,23.23,59.06,461,90.75,437,86.02,454,89.37,437,86.02,62.79,26.96
28,2018-04-02,508,125,24.61,60.24,462,90.94,440,86.61,457,89.96,440,86.61,62.0,26.37
29,2018-05-02,508,125,24.61,60.24,462,90.94,440,86.61,457,89.96,440,86.61,62.0,26.37
30,2018-06-01,508,125,24.61,60.24,462,90.94,439,86.42,457,89.96,439,86.42,61.81,26.18
31,2018-07-02,509,125,24.56,59.92,462,90.77,439,86.25,457,89.78,439,86.25,61.69,26.33
32,2018-08-01,509,125,24.56,59.92,462,90.77,439,86.25,457,89.78,439,86.25,61.69,26.33
33,2018-09-03,509,126,24.75,60.12,463,90.96,440,86.44,458,89.98,440,86.44,61.69,26.32
34,2018-10-01,510,130,25.49,60.59,463,90.78,441,86.47,459,90.0,441,86.47,60.98,25.88
35,2018-11-01,510,130,25.49,60.59,463,90.78,441,86.47,459,90.0,441,86.47,60.98,25.88
36,2018-12-03,510,130,25.49,60.59,463,90.78,441,86.47,459,90.0,441,86.47,60.98,25.88
37,2019-01-02,511,134,26.22,61.45,468,91.59,446,87.28,464,90.8,446,87.28,61.06,25.83
38,2019-02-01,511,135,26.42,61.64,470,91.98,450,88.06,466,91.19,450,88.06,61.64,26.42
39,2019-03-01,511,135,26.42,61.64,470,91.98,450,88.06,466,91.19,450,88.06,61.64,26.42
40,2019-04-01,513,143,27.88,62.18,473,92.2,453,88.3,469,91.42,453,88.3,60.42,26.12
41,2019-05-02,513,143,27.88,62.18,474,92.4,454,88.5,469,91.42,454,88.5,60.62,26.32
42,2019-06-03,513,143,27.88,62.18,474,92.4,454,88.5,469,91.42,454,88.5,60.62,26.32
43,2019-07-01,513,144,28.07,62.38,475,92.59,455,88.69,471,91.81,455,88.69,60.62,26.31
44,2019-08-01,513,144,28.07,62.38,475,92.59,454,88.5,471,91.81,454,88.5,60.43,26.12
45,2019-09-03,513,144,28.07,62.38,475,92.59,454,88.5,471,91.81,454,88.5,60.43,26.12
46,2019-10-01,513,153,29.82,63.35,479,93.37,458,89.28,476,92.79,458,89.28,59.46,25.93
47,2019-11-01,513,153,29.82,63.35,479,93.37,458,89.28,476,92.79,458,89.28,59.46,25.93
48,2019-12-02,513,153,29.82,63.35,479,93.37,458,89.28,476,92.79,458,89.28,59.46,25.93
49,2020-01-01,514,158,30.74,64.2,482,93.77,462,89.88,480,93.39,462,89.88,59.14,25.68
50,2020-02-03,514,158,30.74,64.01,482,93.77,462,89.88,480,93.39,462,89.88,59.14,25.87
51,2020-03-02,514,158,30.74,64.01,482,93.77,461,89.69,480,93.39,461,89.69,58.95,25.68
52,2020-04-01,514,158,30.74,63.81,482,93.77,461,89.69,480,93.39,461,89.69,58.95,25.88
53,2020-05-04,514,158,30.74,63.81,482,93.77,461,89.69,480,93.39,461,89.69,58.95,25.88
54,2020-06-01,514,158,30.74,63.81,482,93.77,461,89.69,480,93.39,461,89.69,58.95,25.88
55,2020-07-01,514,154,29.96,64.59,485,94.36,465,90.47,484,94.16,465,90.47,60.51,25.88
56,2020-08-03,515,154,29.9,64.66,486,94.37,466,90.49,485,94.17,466,90.49,60.59,25.83
57,2020-09-01,515,154,29.9,64.66,486,94.37,465,90.29,485,94.17,465,90.29,60.39,25.63
