scrip_name,snapshot_frequency,pct_snapshots,mapping_status,symbol,isin,confidence,flags,source_tier
Titan Industries Ltd.,57,100.0,unresolved,,,low,no_candidate,review_medium
Akzo Nobel India Ltd.,57,100.0,unresolved,,,low,no_candidate,unresolved
Hexaware Technologies Ltd.,57,100.0,proposed,HEXT,INE093A01041,high,listing_after_first_seen,review_high
Kajaria Ceramics Ltd.,57,100.0,proposed,KAJARIACER,INE217B01036,high,listing_after_first_seen,review_high
Zee Entertainment Enterprises Ltd.,57,100.0,proposed,ZEEL,INE256A01028,high,listing_after_first_seen,review_high
GMR Infrastructure Ltd.,57,100.0,unresolved,,,low,no_candidate,unresolved
Welspun Corp Ltd.,57,100.0,proposed,WELCORP,INE191B01025,high,listing_after_first_seen;alias_target_of(Welspun India Ltd.),review_high
Torrent Pharmaceuticals Ltd.,57,100.0,proposed,TORNTPHARM,INE685A01028,high,listing_after_first_seen,review_high
SKF India Ltd.,57,100.0,proposed,SKFINDIA,INE640A01023,high,listing_after_first_seen,review_high
TVS Motor Company Ltd.,57,100.0,proposed,TVSMOTOR,INE494B01023,high,concurrent_alias_collision,review_high
Hindustan Petroleum Corporation Ltd.,57,100.0,proposed,HINDPETRO,INE094A01015,high,listing_after_first_seen,review_high
South Indian Bank Ltd.,57,100.0,proposed,SOUTHBANK,INE683A01023,high,,review_high
Trent Ltd.,57,100.0,proposed,TRENT,INE849A01020,high,listing_after_first_seen,review_high
Karnataka Bank Ltd.,57,100.0,proposed,KTKBANK,INE614B01018,high,,review_medium
Prism Cement Ltd.,57,100.0,unresolved,,,low,no_candidate,unresolved
Jindal Steel & Power Ltd.,57,100.0,proposed,JINDALSTEL,INE749A01030,medium,name_variant;concurrent_alias_collision,review_medium
Bharat Forge Ltd.,57,100.0,proposed,BHARATFORG,INE465A01025,high,listing_after_first_seen;concurrent_alias_collision,review_high
Idea Cellular Ltd.,57,100.0,unresolved,,,low,no_candidate,unresolved
Shriram Transport Finance Co. Ltd.,57,100.0,proposed,SHRIRAMFIN,INE721A01047,medium,name_variant;concurrent_alias_collision,review_medium
Arvind Ltd,57,100.0,proposed,ARVIND,INE034A01011,high,concurrent_alias_collision,review_high
Bank of India,57,100.0,proposed,BANKINDIA,INE084A01016,high,"concurrent_alias_collision;alias_target_of(Bank of Punjab Ltd.,Bank of Rajasthan Ltd.,Centurion Bank of Punjab Ltd.,Industrial Development Bank of India Limited,Oriental Bank of Commerce,United Bank of India)",review_high
Amtek India Ltd.,57,100.0,unresolved,,,low,no_candidate,unresolved
Federal Bank Ltd.,57,100.0,proposed,FEDERALBNK,INE171A01029,high,,review_medium
Bajaj Corp Ltd.,57,100.0,proposed,BAJAJ-AUTO,INE917I01010,medium,name_variant;concurrent_alias_collision,review_medium
JSW Steel Ltd.,57,100.0,proposed,JSWSTEEL,INE019A01038,high,listing_after_first_seen;alias_target_of(JSW ISPAT Steel Ltd.),review_high
Indiabulls Power Ltd.,57,100.0,proposed,IBULLSLTD,INE126M01010,medium,name_variant;concurrent_alias_collision,review_medium
Apollo Hospitals Enterprises Ltd.,57,100.0,proposed,APOLLOHOSP,INE437A01024,medium,concurrent_alias_collision,review_medium
Phoenix Mills Ltd.,57,100.0,proposed,PHOENIXLTD,INE211B01039,high,,review_medium
Pipavav Defence and Offshore Engineering Company Ltd.,57,100.0,unresolved,,,low,no_candidate,unresolved
Redington (India) Ltd.,57,100.0,proposed,REDINGTON,INE891D01026,high,,review_high
Cadila Healthcare Ltd.,57,100.0,unresolved,,,low,no_candidate,unresolved
Indiabulls Housing Finance Ltd.,57,100.0,proposed,AADHARHFC,INE883F01010,medium,first_token_mismatch;listing_after_first_seen;concurrent_alias_collision,review_medium
SRF Ltd.,57,100.0,proposed,SRF,INE647A01010,high,listing_after_first_seen,review_high
Escorts Ltd.,57,100.0,proposed,ESCORTS,INE042A01014,medium,name_variant,review_medium
Pfizer Ltd.,57,100.0,proposed,PFIZER,INE182A01018,high,listing_after_first_seen,review_high
Bajaj Hindusthan Ltd.,57,100.0,proposed,BAJAJHIND,INE306A01021,medium,name_variant;concurrent_alias_collision,review_medium
Gillette India Ltd.,57,100.0,proposed,GILLETTE,INE322A01010,high,listing_after_first_seen,review_high
Tata Motors Ltd.,57,100.0,proposed,TMCV,INE1TAE01010,high,listing_after_first_seen;alias_target_of(Tata Motors Ltd DVR),review_high
MphasiS Ltd.,57,100.0,proposed,MPHASIS,INE356A01018,high,listing_after_first_seen;alias_target_of(Mphasis BFL Ltd.),review_high
Justdial Ltd.,57,100.0,unresolved,,,low,no_candidate,unresolved
Jammu & Kashmir Bank Ltd.,57,100.0,proposed,J&KBANK,INE168A01041,high,,review_high
Motherson Sumi Systems Ltd.,57,100.0,proposed,MSUMI,INE0FS801015,medium,listing_after_first_seen,review_medium
Housing Development Finance Corporation Ltd.,57,100.0,proposed,AADHARHFC,INE883F01010,medium,first_token_mismatch;listing_after_first_seen;concurrent_alias_collision,review_medium
Wockhardt Ltd.,57,100.0,proposed,WOCKPHARMA,INE049B01025,high,listing_after_first_seen,review_high
DCM Shriram Consolidated Ltd.,57,100.0,proposed,DCMSHRIRAM,INE499A01024,medium,name_variant,review_medium
NIIT Technologies Ltd.,57,100.0,proposed,NIITLTD,INE161A01038,medium,name_variant;concurrent_alias_collision,review_medium
Alstom India Ltd.,57,100.0,unresolved,,,low,no_candidate,unresolved
Glaxosmithkline Pharmaceuticals Ltd.,57,100.0,proposed,GLAXO,INE159A01016,high,listing_after_first_seen;alias_target_of(Glaxo (India) Ltd.),review_high
JK Tyre & Industries Ltd..,57,100.0,proposed,JKTYRE,INE573A01042,high,listing_after_first_seen,review_high
Ajanta Pharmaceuticals Ltd.,57,100.0,unresolved,,,low,no_candidate,unresolved
J.B. Chemicals & Pharmaceuticals Ltd.,57,100.0,proposed,BIOFILCHEM,INE829A01014,low,first_token_mismatch;name_mismatch;concurrent_alias_collision,review_medium
Procter & Gamble Hygiene & Health Care Ltd.,57,100.0,proposed,PGHH,INE179A01014,high,name_variant;listing_after_first_seen,review_high
Jyothy Laboratories Ltd.,57,100.0,unresolved,,,low,no_candidate,unresolved
Havell's India Ltd.,57,100.0,unresolved,,,low,no_candidate,unresolved
Tata Global Beverages Ltd.,57,100.0,unresolved,,,low,no_candidate,unresolved
Shriram City Union Finance Ltd.,57,100.0,proposed,SHRIRAMFIN,INE721A01047,medium,name_variant;concurrent_alias_collision,review_medium
National Buildings Construction Corporation Ltd.,57,100.0,unresolved,,,low,no_candidate,unresolved
Sesa Sterlite Ltd.,57,100.0,unresolved,,,low,no_candidate,unresolved
Mangalore Refinery & Petrochemicals Ltd.,57,100.0,proposed,MRPL,INE103A01014,high,name_variant;listing_after_first_seen;alias_target_of(Bongaigaon Refinery & Petrochemicals Ltd.),review_high
PVR Ltd.,57,100.0,proposed,PVRINOX,INE191H01014,medium,name_variant,review_medium
Indian Hotels Co. Ltd.,57,100.0,proposed,INDHOTEL,INE053A01032,low,name_variant;isin_unverified;unsourced,review_low
Hero MotoCorp Ltd.,57,100.0,proposed,HEROMOTOCO,INE158A01026,high,listing_after_first_seen,review_high
J.K. Cement Ltd.,57,100.0,unresolved,,,low,no_candidate,unresolved
Lakshmi Machine Works Ltd.,57,100.0,unresolved,,,low,no_candidate,unresolved
India Cements Ltd.,57,100.0,proposed,INDIACEM,INE383A01012,high,listing_after_first_seen;concurrent_alias_collision,review_medium
Rural Electrification Corporation Ltd.,57,100.0,unresolved,,,low,no_candidate,unresolved
Sundram Fasteners Ltd.,57,100.0,proposed,SUNDRMFAST,INE387A01021,high,listing_after_first_seen,review_high
Gujarat State Petronet Ltd.,57,100.0,proposed,GSFC,INE026A01025,low,name_mismatch;concurrent_alias_collision,unresolved
WABCO India Ltd.,57,100.0,unresolved,,,low,no_candidate,unresolved
Swan Energy Ltd.,57,100.0,proposed,SWANCORP,INE665A01038,medium,name_variant,review_medium
Alstom T&D India Ltd.,57,100.0,proposed,GVT&D,INE200A01026,low,first_token_mismatch;name_mismatch;listing_after_first_seen,review_medium
Inox Leisure Ltd.,57,100.0,proposed,INOXINDIA,INE616N01034,medium,name_variant;listing_after_first_seen,review_medium
Vardhman Textiles Ltd.,57,100.0,proposed,VTL,INE825A01020,high,listing_after_first_seen,review_high
Bombay Burmah Trading Corporation Ltd.,57,100.0,proposed,BBTC,INE050A01025,high,,review_high
Exide Industries Ltd.,57,100.0,proposed,EXIDEIND,INE302A01020,high,listing_after_first_seen,review_high
Strides Arcolab Ltd.,57,100.0,unresolved,,,low,no_candidate,unresolved
Berger Paints India Ltd.,57,100.0,proposed,BERGEPAINT,INE463A01038,low,listing_after_first_seen;unsourced,review_low
Amara Raja Batteries Ltd.,57,100.0,proposed,ARE&M,INE885A01032,low,name_mismatch;listing_after_first_seen,unresolved
E.I.D. Parry (India) Ltd.,57,100.0,unresolved,,,low,no_candidate,unresolved
TV18 Broadcast Ltd.,57,100.0,unresolved,,,low,no_candidate,unresolved
Whirlpool of India Ltd.,57,100.0,proposed,WHIRLPOOL,INE716A01013,high,listing_after_first_seen,unknown
MindTree Ltd.,57,100.0,unresolved,,,low,no_candidate,unresolved
Development Credit Bank Ltd,57,100.0,unresolved,,,low,no_candidate,unresolved
Kansai Nerolac Paints Ltd.,57,100.0,proposed,KANSAINER,INE531A01024,high,listing_after_first_seen,review_high
Infotech Enterprises Ltd.,57,100.0,unresolved,,,low,no_candidate,unresolved
Tata Elxsi Ltd.,57,100.0,proposed,TATAELXSI,INE670A01012,high,listing_after_first_seen,review_high
Eicher Motors Ltd.,57,100.0,proposed,EICHERMOT,INE066A01021,high,listing_after_first_seen;alias_target_of(Eicher Ltd.),review_high
Steel Authority of India Ltd.,57,100.0,proposed,SAIL,INE114A01011,high,concurrent_alias_collision;alias_target_of(Gas Authority of India Limited),review_high
Piramal Enterprises Ltd.,57,100.0,unresolved,,,low,no_candidate,unresolved
MMTC Ltd.,57,100.0,proposed,MMTC,INE123F01029,high,listing_after_first_seen,review_high
Astral Poly Technik Ltd.,57,100.0,unresolved,,,low,no_candidate,unresolved
Vakrangee Software Ltd.,57,100.0,proposed,VAKRANGEE,INE051B01021,medium,name_variant,review_medium
Siti Cable Network Ltd.,57,100.0,unresolved,,,low,no_candidate,unresolved
L&T Finance Holdings Ltd.,57,100.0,proposed,LTF,INE498L01015,high,name_variant,review_high
JK Lakshmi Cement Ltd.,57,100.0,proposed,JKLAKSHMI,INE786A01032,high,listing_after_first_seen,unknown
Bombay Dyeing & Manufacturing Co. Ltd.,57,100.0,proposed,BOMDYEING,INE032A01023,low,name_mismatch,review_medium
Himachal Fut Com Ltd.,57,100.0,unresolved,,,low,no_candidate,unresolved
Fag Bearings India Ltd.,57,100.0,unresolved,,,low,no_candidate,unresolved
Sobha Developers Ltd.,57,100.0,proposed,SOBHA,INE671H01015,medium,name_variant;concurrent_alias_collision,review_medium
Sadbhav Engineering Ltd,57,100.0,proposed,SADBHAV,INE226H01026,high,concurrent_alias_collision,review_high
SKS Microfinance Ltd.,57,100.0,unresolved,,,low,no_candidate,unresolved
Great Eastern Shipping Co. Ltd.,57,100.0,proposed,GESHIP,INE017A01032,high,name_variant;listing_after_first_seen,review_high
CARE Ltd.,57,100.0,proposed,CARERATING,INE752H01013,medium,name_variant;concurrent_alias_collision,review_medium
Indiabulls Real Estate Ltd.,57,100.0,proposed,TREL,INE0O3901029,medium,first_token_mismatch;listing_after_first_seen,review_medium
Bharti Infratel Ltd.,57,100.0,unresolved,,,low,no_candidate,unresolved
V.I.P. Industries Ltd.,57,100.0,proposed,VGUARD,INE951I01027,medium,listing_after_first_seen;concurrent_alias_collision,review_low
