symbol,ex_date,action_type,ratio,source_url,fetched_at
KOTHARIPRO,2016-01-05,bonus,0.5,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2016&to_date=31-12-2016,2026-09-24 14:42:34 UTC
GREENPLY,2016-01-06,split,5.0,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2016&to_date=31-12-2016,2026-09-24 14:42:34 UTC
MOLDTKPAC,2016-02-17,split,2.0,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2016&to_date=31-12-2016,2026-09-24 14:42:34 UTC
PRAKASHSTL,2016-03-03,split,10.0,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2016&to_date=31-12-2016,2026-09-24 14:42:34 UTC
MINDTREE,2016-03-09,bonus,1.0,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2016&to_date=31-12-2016,2026-09-24 14:42:34 UTC
RAMASTEEL,2016-03-14,bonus,4.0,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2016&to_date=31-12-2016,2026-09-24 14:42:34 UTC
VEEDOL,2016-03-16,bonus,1.0,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2016&to_date=31-12-2016,2026-09-24 14:42:34 UTC
PRECWIRE,2016-03-21,split,2.0,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2016&to_date=31-12-2016,2026-09-24 14:42:34 UTC
WELSPUNLIV,2016-03-21,split,6.0,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2016&to_date=31-12-2016,2026-09-24 14:42:34 UTC
VIVIDHA,2016-03-30,bonus,0.3333333333333333,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2016&to_date=31-12-2016,2026-09-24 14:42:34 UTC
VIVIMEDLAB,2016-04-06,split,5.0,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2016&to_date=31-12-2016,2026-09-24 14:42:34 UTC
