symbol,has_ca_event,ca_event_count
3MINDIA,False,0
AARTIDRUGS,False,0
AARTIIND,True,1
AAVAS,False,0
ABAN,False,0
ABB,False,0
ABBOTINDIA,False,0
ABCAPITAL,False,0
ABFRL,False,0
ACC,False,0
ADANIENT,False,0
ADANIGREEN,False,0
ADANIPOWER,False,0
AEGISLOG,False,0
AHLUCONT,False,0
AIAENG,False,0
ALKEM,False,0
ALKYLAMINE,False,0
ALOKINDS,False,0
AMBER,False,0
AMBUJACEM,False,0
ANANTRAJ,False,0
APARINDS,False,0
APLAPOLLO,False,0
APLLTD,False,0
APOLLOHOSP,False,0
APOLLOTYRE,False,0
ARVINDFASN,False,0
ASAHIINDIA,False,0
ASHIANA,False,0
ASHOKA,True,1
ASHOKLEY,False,0
ASIANPAINT,False,0
ASTRAMICRO,False,0
ATUL,False,0
AUBANK,False,0
AUROPHARMA,False,0
AVANTIFEED,True,1
AXISBANK,False,0
BAJAJELEC,False,0
BAJAJFINSV,False,0
BAJAJHIND,False,0
BAJAJHLDNG,False,0
BAJFINANCE,True,1
BALAJITELE,False,0
BALKRISIND,True,1
BALRAMCHIN,False,0
BANDHANBNK,False,0
BANKBARODA,False,0
BASF,False,0
BATAINDIA,False,0
BAYERCROP,False,0
BDL,False,0
BEL,True,2
BEML,False,0
BFUTILITIE,False,0
BGRENERGY,False,0
BHARATRAS,False,0
BHARTIARTL,False,0
BHEL,True,1
BIOCON,True,2
BIRLACORPN,False,0
BLISSGVS,False,0
BLUEDART,False,0
BLUESTARCO,False,0
BOSCHLTD,False,0
BPCL,True,2
BRIGADE,True,1
BRITANNIA,True,1
BSE,False,0
BSOFT,False,0
CAMLINFINE,False,0
CANBK,False,0
CANFINHOME,True,1
CAPLIPOINT,False,0
CARBORUNIV,False,0
CARERATING,False,0
CASTROLIND,True,1
CDSL,False,0
CEATLTD,False,0
CENTENKA,False,0
CENTRALBK,False,0
CENTURYPLY,False,0
CERA,False,0
CESC,False,0
CGCL,False,0
CGPOWER,False,0
CHALET,False,0
CHENNPETRO,False,0
CHOLAFIN,True,1
CIPLA,False,0
COCHINSHIP,False,0
COFFEEDAY,False,0
COLPAL,False,0
CONCOR,True,3
COROMANDEL,False,0
CREDITACC,False,0
CRISIL,False,0
CROMPTON,False,0
CSBBANK,False,0
CUB,True,2
CUMMINSIND,False,0
CYIENT,False,0
DABUR,False,0
DBCORP,False,0
DBL,False,0
DCAL,False,0
DCBBANK,False,0
DCMSHRIRAM,False,0
DEEPAKNTR,False,0
DELTACORP,False,0
DEN,False,0
DHANBANK,False,0
DHANUKA,False,0
DISHTV,False,0
DIVISLAB,False,0
DIXON,False,0
DLF,False,0
DMART,False,0
DREDGECORP,False,0
DRREDDY,False,0
DYNAMATECH,False,0
ECLERX,False,0
EDELWEISS,False,0
ELGIEQUIP,False,0
EMAMILTD,True,1
ENDURANCE,False,0
ENGINERSIN,True,1
ENIL,False,0
ERIS,False,0
ESABINDIA,False,0
FDC,False,0
FINCABLES,False,0
FINEORG,False,0
FLFL,False,0
FMGOETZE,False,0
FORTIS,False,0
FSL,False,0
GABRIEL,False,0
GAIL,True,3
GALAXYSURF,False,0
GARFIBRES,False,0
GAYAPROJ,True,1
GICHSGFIN,False,0
GICRE,True,1
GIPCL,False,0
GLENMARK,False,0
GMDCLTD,False,0
GMMPFAUDLR,False,0
GNFC,False,0
GODFRYPHLP,False,0
GODREJAGRO,False,0
GODREJCP,True,2
GODREJIND,False,0
GODREJPROP,False,0
GPPL,False,0
GRANULES,False,0
GRASIM,True,1
GREENPLY,True,1
GRINDWELL,True,1
GRSE,False,0
GSFC,False,0
GTLINFRA,False,0
