symbol,ex_date,action_type,ratio,source_url,fetched_at,subject_raw
KOTHARIPRO,2016-01-05,bonus,0.5,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2016&to_date=31-12-2016,2026-09-24 14:42:34 UTC,Bonus 1:2
GREENPLY,2016-01-06,split,5.0,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2016&to_date=31-12-2016,2026-09-24 14:42:34 UTC,Face Value Split (Sub-Division) - From Rs 5/- Per Share To Re 1/- Per Share
MOLDTKPAC,2016-02-17,split,2.0,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2016&to_date=31-12-2016,2026-09-24 14:42:34 UTC,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share
PRAKASHSTL,2016-03-03,split,10.0,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2016&to_date=31-12-2016,2026-09-24 14:42:34 UTC,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share
MINDTREE,2016-03-09,bonus,1.0,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2016&to_date=31-12-2016,2026-09-24 14:42:34 UTC,Bonus 1:1
RAMASTEEL,2016-03-14,bonus,4.0,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2016&to_date=31-12-2016,2026-09-24 14:42:34 UTC,Bonus 4:1/Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share
VEEDOL,2016-03-16,bonus,1.0,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2016&to_date=31-12-2016,2026-09-24 14:42:34 UTC,Bonus 1:1/Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share
PRECWIRE,2016-03-21,split,2.0,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2016&to_date=31-12-2016,2026-09-24 14:42:34 UTC,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share
WELSPUNLIV,2016-03-21,split,6.0,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2016&to_date=31-12-2016,2026-09-24 14:42:34 UTC,Interim Div - Rs 6/- Per Share + Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share
VIVIDHA,2016-03-30,bonus,0.3333333333333333,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2016&to_date=31-12-2016,2026-09-24 14:42:34 UTC,Bonus 1:3
VIVIMEDLAB,2016-04-06,split,5.0,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2016&to_date=31-12-2016,2026-09-24 14:42:34 UTC,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share
DISHMAN,2016-05-02,bonus,1.0,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2016&to_date=31-12-2016,2026-09-24 14:42:34 UTC,Bonus 1:1
GMBREW,2016-05-30,bonus,0.25,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2016&to_date=31-12-2016,2026-09-24 14:42:34 UTC,Bonus 1:4
NBCC,2016-06-02,split,5.0,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2016&to_date=31-12-2016,2026-09-24 14:42:34 UTC,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share
LUXIND,2016-06-06,split,5.0,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2016&to_date=31-12-2016,2026-09-24 14:42:34 UTC,Face Value Split From Rs 10 To Rs 2
PINCON,2016-06-23,bonus,1.0,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2016&to_date=31-12-2016,2026-09-24 14:42:34 UTC,Bonus 1:1
ITC,2016-07-01,bonus,0.5,https://www.nseindia.com/api/corporates-corporateActions?index=equities&from_date=01-01-2016&to_date=31-12-2016,2026-09-24 14:42:34 UTC,Bonus 1:2
