trading_date,status,records_extracted,size_bytes,source
2016-01-04,SUCCESS,352,59858,download
2016-01-05,SUCCESS,352,60105,download
2016-01-06,SUCCESS,353,60265,download
2016-01-07,SUCCESS,353,60107,download
2016-01-08,SUCCESS,353,59455,download
2016-01-11,SUCCESS,353,59831,download
2016-01-12,SUCCESS,353,59474,download
2016-01-13,SUCCESS,353,60620,download
2016-01-14,SUCCESS,353,59161,download
2016-01-15,SUCCESS,353,59058,download
2016-01-18,SUCCESS,353,59802,download
2016-01-19,SUCCESS,353,59044,download
2016-01-20,SUCCESS,353,58341,download
2016-01-21,SUCCESS,353,58639,download
2016-01-22,SUCCESS,353,58632,download
2016-01-25,SUCCESS,353,59065,download
2016-01-27,SUCCESS,353,58159,download
2016-01-28,SUCCESS,353,57820,download
2016-01-29,SUCCESS,354,58804,download
2016-02-01,SUCCESS,354,58968,download
2016-02-02,SUCCESS,354,58699,download
2016-02-03,SUCCESS,354,57913,download
2016-02-04,SUCCESS,354,58399,download
2016-02-05,SUCCESS,354,58209,download
2016-02-08,SUCCESS,354,58245,download
2016-02-09,SUCCESS,354,58291,download
2016-02-10,SUCCESS,354,58483,cache_a2
2016-02-11,SUCCESS,354,58940,cache_a2
2016-02-12,SUCCESS,355,59160,cache_a2
2016-02-15,SUCCESS,355,58120,cache_a2
2016-02-16,SUCCESS,355,57912,cache_a2
2016-02-17,SUCCESS,355,57914,cache_a2
2016-02-18,SUCCESS,355,57817,cache_a2
2016-02-19,SUCCESS,355,57025,cache_a2
2016-02-22,SUCCESS,355,57306,cache_a2
2016-02-23,SUCCESS,355,57304,cache_a2
2016-02-24,SUCCESS,355,57187,cache_a2
2016-02-25,SUCCESS,354,57025,download
2016-02-26,SUCCESS,356,56831,download
2016-02-29,SUCCESS,356,57050,download
2016-03-01,SUCCESS,356,57701,download
2016-03-02,SUCCESS,356,58488,download
2016-03-03,SUCCESS,356,58233,download
2016-03-04,SUCCESS,356,58657,download
2016-03-08,SUCCESS,356,59147,download
2016-03-09,SUCCESS,356,57961,download
2016-03-10,SUCCESS,356,57825,download
2016-03-11,SUCCESS,356,58383,download
2016-03-14,SUCCESS,356,58581,download
2016-03-15,SUCCESS,356,58277,download
2016-03-16,SUCCESS,356,58393,download
