snapshot_idx,snapshot_date,total_constituents,g2c_both_count,g2c_both_frac,a3_mapped_count,a3_mapped_frac,a3_price_covered_count,a3_price_covered_frac,a3_unflagged_count,a3_joint_count,a3_joint_frac,delta_pct
1,2016-01-04,501,74,14.77,274,54.69,271,54.09,273,271,54.09,39.32
2,2016-02-01,501,75,14.97,274,54.69,272,54.29,273,272,54.29,39.32
3,2016-03-01,501,75,14.97,274,54.69,272,54.29,273,272,54.29,39.32
4,2016-04-01,503,96,19.09,283,56.26,280,55.67,282,280,55.67,36.58
5,2016-05-02,503,96,19.09,285,56.66,282,56.06,284,282,56.06,36.97
6,2016-06-01,503,96,19.09,285,56.66,282,56.06,284,282,56.06,36.97
7,2016-07-01,503,96,19.09,285,56.66,282,56.06,284,282,56.06,36.97
8,2016-08-01,503,96,19.09,285,56.66,282,56.06,284,282,56.06,36.97
9,2016-09-01,503,96,19.09,285,56.66,282,56.06,284,282,56.06,36.97
10,2016-10-03,505,99,19.6,286,56.63,283,56.04,285,283,56.04,36.44
11,2016-11-01,505,99,19.6,286,56.63,283,56.04,285,283,56.04,36.44
12,2016-12-01,505,100,19.8,287,56.83,284,56.24,286,284,56.24,36.44
13,2017-01-02,505,100,19.8,287,56.83,284,56.24,286,284,56.24,36.44
14,2017-02-01,505,102,20.2,288,57.03,285,56.44,287,285,56.44,36.24
15,2017-03-01,505,102,20.2,288,57.03,285,56.44,287,285,56.44,36.24
16,2017-04-03,506,111,21.94,294,58.1,291,57.51,294,291,57.51,35.57
17,2017-05-02,506,111,21.94,294,58.1,291,57.51,294,291,57.51,35.57
18,2017-06-01,506,114,22.53,296,58.5,293,57.91,296,293,57.91,35.38
19,2017-07-03,507,115,22.68,297,58.58,294,57.99,297,294,57.99,35.31
20,2017-08-01,507,115,22.68,297,58.58,294,57.99,297,294,57.99,35.31
21,2017-09-01,507,115,22.68,297,58.58,294,57.99,297,294,57.99,35.31
22,2017-10-03,507,114,22.49,301,59.37,298,58.78,301,298,58.78,36.29
23,2017-11-01,507,115,22.68,302,59.57,299,58.97,302,299,58.97,36.29
24,2017-12-01,507,118,23.27,303,59.76,300,59.17,303,300,59.17,35.9
25,2018-01-02,507,118,23.27,303,59.76,300,59.17,303,300,59.17,35.9
26,2018-02-01,507,118,23.27,303,59.76,300,59.17,303,300,59.17,35.9
27,2018-03-01,508,118,23.23,303,59.65,300,59.06,303,300,59.06,35.83
28,2018-04-02,508,125,24.61,309,60.83,306,60.24,309,306,60.24,35.63
29,2018-05-02,508,125,24.61,309,60.83,306,60.24,309,306,60.24,35.63
30,2018-06-01,508,125,24.61,309,60.83,306,60.24,309,306,60.24,35.63
31,2018-07-02,509,125,24.56,308,60.51,305,59.92,308,305,59.92,35.36
32,2018-08-01,509,125,24.56,308,60.51,305,59.92,308,305,59.92,35.36
33,2018-09-03,509,126,24.75,309,60.71,306,60.12,309,306,60.12,35.37
34,2018-10-01,510,130,25.49,312,61.18,309,60.59,312,309,60.59,35.1
35,2018-11-01,510,130,25.49,312,61.18,309,60.59,312,309,60.59,35.1
36,2018-12-03,510,130,25.49,312,61.18,309,60.59,312,309,60.59,35.1
37,2019-01-02,511,134,26.22,317,62.04,314,61.45,317,314,61.45,35.23
38,2019-02-01,511,135,26.42,318,62.23,315,61.64,318,315,61.64,35.22
39,2019-03-01,511,135,26.42,318,62.23,315,61.64,318,315,61.64,35.22
40,2019-04-01,513,143,27.88,322,62.77,319,62.18,322,319,62.18,34.3
41,2019-05-02,513,143,27.88,322,62.77,319,62.18,322,319,62.18,34.3
42,2019-06-03,513,143,27.88,322,62.77,319,62.18,322,319,62.18,34.3
43,2019-07-01,513,144,28.07,323,62.96,320,62.38,323,320,62.38,34.31
44,2019-08-01,513,144,28.07,323,62.96,320,62.38,323,320,62.38,34.31
45,2019-09-03,513,144,28.07,323,62.96,320,62.38,323,320,62.38,34.31
46,2019-10-01,513,153,29.82,329,64.13,326,63.55,328,325,63.35,33.53
47,2019-11-01,513,153,29.82,329,64.13,326,63.55,328,325,63.35,33.53
48,2019-12-02,513,153,29.82,329,64.13,326,63.55,328,325,63.35,33.53
49,2020-01-01,514,158,30.74,334,64.98,331,64.4,333,330,64.2,33.46
50,2020-02-03,514,158,30.74,333,64.79,330,64.2,332,329,64.01,33.27
51,2020-03-02,514,158,30.74,333,64.79,330,64.2,332,329,64.01,33.27
52,2020-04-01,514,158,30.74,332,64.59,329,64.01,331,328,63.81,33.07
53,2020-05-04,514,158,30.74,332,64.59,329,64.01,331,328,63.81,33.07
54,2020-06-01,514,158,30.74,332,64.59,329,64.01,331,328,63.81,33.07
55,2020-07-01,514,154,29.96,336,65.37,333,64.79,335,332,64.59,34.63
56,2020-08-03,515,154,29.9,337,65.44,334,64.85,336,333,64.66,34.76
57,2020-09-01,515,154,29.9,337,65.44,334,64.85,336,333,64.66,34.76
