symbol,scrip_name,mapping_status,isin,first_seen,last_seen,flags
3MINDIA,3M India Ltd.,auto,INE470A01017,1998-08-01,2018-09-28,listing_after_first_seen
AARTIDRUGS,Aarti Drugs Ltd.,auto,INE767A01016,2016-04-01,2016-09-30,
AARTIIND,Aarti Industries Ltd.,auto,INE769A01020,2005-04-20,2020-06-26,
AAVAS,Aavas Financiers Ltd.,auto,INE216P01012,2019-03-29,2020-06-26,
ABAN,Aban Offshore Ltd.,auto,INE421A01028,1998-08-01,2018-09-28,
ABB,ABB India Ltd.,auto,INE117A01022,1996-09-18,2020-06-26,alias_target_of(ABB Ltd.)
ABBOTINDIA,Abbott India Ltd.,auto,INE358A01014,1998-08-01,2020-06-26,listing_after_first_seen
ABCAPITAL,Aditya Birla Capital Ltd.,auto,INE674K01013,2018-04-02,2019-03-29,
ABFRL,Aditya Birla Fashion and Retail Ltd.,auto,INE647O01011,2016-04-01,2019-09-27,
ACC,ACC Ltd.,auto,INE012A01025,1998-08-01,2019-09-27,
ADANIENT,Adani Enterprises Ltd.,auto,INE423A01024,1998-08-01,2018-04-02,
ADANIGREEN,Adani Green Energy Ltd.,auto,INE364U01010,2018-12-28,2020-06-26,
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,auto,INE742F01042,2008-03-14,2015-09-28,alias_target_of(Mundra Port and Special Economic Zone Ltd.)
ADANIPOWER,Adani Power Ltd.,auto,INE814H01029,2010-04-08,2019-12-27,
AEGISLOG,Aegis Logistics Ltd.,auto,INE208C01025,2016-04-01,2018-04-02,
AHLUCONT,Ahluwalia Contracts (India) Ltd.,auto,INE758C01029,2016-04-01,2018-04-02,
AIAENG,AIA Engineering Ltd.,auto,INE212H01026,2006-04-03,2018-09-28,
ALKEM,Alkem Laboratories Ltd.,auto,INE540L01014,2016-04-29,2020-06-26,
ALKYLAMINE,Alkyl Amines Chemicals Ltd.,auto,INE150B01039,2020-06-26,2020-06-26,
ALLCARGO,Allcargo Logistics Ltd.,auto,INE418H01029,2007-04-04,2007-04-04,
ALOKINDS,Alok Industries Ltd.,auto,INE270A01029,2002-07-09,2017-03-31,listing_after_first_seen
AMBER,Amber Enterprises India Ltd.,auto,INE371P01015,2019-09-27,2019-09-27,
AMBUJACEM,Ambuja Cements Ltd.,auto,INE079A01024,1998-08-01,2019-09-27,
ANANTRAJ,Anant Raj Industries Ltd.,proposed,INE242C01024,2008-09-10,2011-10-10,name_variant
APARINDS,Apar Industries Ltd.,auto,INE372A01015,2014-09-19,2018-04-02,
APLAPOLLO,APL Apollo Tubes Ltd.,auto,INE702C01027,2016-04-29,2016-09-30,
APLLTD,Alembic Pharmaceuticals Ltd.,auto,INE901L01018,2014-01-13,2020-06-26,
APOLLOTYRE,Apollo Tyres Ltd.,auto,INE438A01022,1996-09-18,2020-06-26,
ARVINDFASN,Arvind Fashions Ltd.,auto,INE955V01021,2019-09-27,2020-06-26,
ASAHIINDIA,Asahi India Glass Ltd.,auto,INE439A01020,2002-09-19,2020-09-14,
ASHIANA,Ashiana Housing Ltd.,auto,INE365D01021,2016-04-01,2016-09-30,
ASHOKA,Ashoka Buildcon Ltd.,auto,INE442H01029,2014-09-19,2016-09-30,
ASHOKLEY,Ashok Leyland Finance Ltd.,proposed,INE208A01029,1998-08-01,2004-07-09,name_variant;concurrent_alias_collision
ASIANPAINT,Asian Paints India Ltd.,proposed,INE021A01026,2003-04-01,2003-04-01,concurrent_alias_collision
ATUL,Atul Ltd.,auto,INE100A01010,1998-08-01,2020-06-26,
AUBANK,AU Small Finance Bank Ltd.,auto,INE949L01017,2017-11-13,2018-04-02,
AUROPHARMA,Aurobindo Pharma Ltd.,auto,INE406A01037,1999-03-17,2020-06-26,listing_after_first_seen
AVANTIFEED,Avanti Feeds Ltd.,auto,INE871C01038,2016-04-01,2019-03-29,
