snapshot_idx,snapshot_date,total_constituents,mapped_constituents,unmapped_constituents,mapped_pct
1,2016-01-04,501,274,227,54.69
2,2016-02-01,501,274,227,54.69
3,2016-03-01,501,274,227,54.69
4,2016-04-01,503,283,220,56.26
5,2016-05-02,503,285,218,56.66
6,2016-06-01,503,285,218,56.66
7,2016-07-01,503,285,218,56.66
8,2016-08-01,503,285,218,56.66
9,2016-09-01,503,285,218,56.66
10,2016-10-03,505,286,219,56.63
11,2016-11-01,505,286,219,56.63
12,2016-12-01,505,287,218,56.83
13,2017-01-02,505,287,218,56.83
14,2017-02-01,505,288,217,57.03
15,2017-03-01,505,288,217,57.03
16,2017-04-03,506,294,212,58.1
17,2017-05-02,506,294,212,58.1
18,2017-06-01,506,296,210,58.5
19,2017-07-03,507,297,210,58.58
20,2017-08-01,507,297,210,58.58
21,2017-09-01,507,297,210,58.58
22,2017-10-03,507,301,206,59.37
23,2017-11-01,507,302,205,59.57
24,2017-12-01,507,303,204,59.76
25,2018-01-02,507,303,204,59.76
26,2018-02-01,507,303,204,59.76
27,2018-03-01,508,303,205,59.65
28,2018-04-02,508,309,199,60.83
29,2018-05-02,508,309,199,60.83
30,2018-06-01,508,309,199,60.83
31,2018-07-02,509,308,201,60.51
32,2018-08-01,509,308,201,60.51
33,2018-09-03,509,309,200,60.71
34,2018-10-01,510,312,198,61.18
35,2018-11-01,510,312,198,61.18
36,2018-12-03,510,312,198,61.18
37,2019-01-02,511,317,194,62.04
38,2019-02-01,511,318,193,62.23
39,2019-03-01,511,318,193,62.23
40,2019-04-01,513,322,191,62.77
41,2019-05-02,513,322,191,62.77
42,2019-06-03,513,322,191,62.77
43,2019-07-01,513,323,190,62.96
44,2019-08-01,513,323,190,62.96
45,2019-09-03,513,323,190,62.96
46,2019-10-01,513,329,184,64.13
47,2019-11-01,513,329,184,64.13
48,2019-12-02,513,329,184,64.13
49,2020-01-01,514,334,180,64.98
50,2020-02-03,514,333,181,64.79
51,2020-03-02,514,333,181,64.79
52,2020-04-01,514,332,182,64.59
53,2020-05-04,514,332,182,64.59
54,2020-06-01,514,332,182,64.59
55,2020-07-01,514,336,178,65.37
56,2020-08-03,515,337,178,65.44
57,2020-09-01,515,337,178,65.44
