snapshot_idx,snapshot_date,active_constituents,mapped_symbols,covered_symbols,coverage_pct,is_pass_tier
1,2020-10-01,501,480,377,75.25,False
2,2020-11-02,501,480,377,75.25,False
3,2020-12-01,501,480,377,75.25,False
4,2021-01-01,501,480,377,75.25,False
5,2021-02-01,501,480,377,75.25,False
6,2021-03-01,501,480,377,75.25,False
7,2021-04-01,501,480,427,85.23,True
8,2021-05-03,501,480,427,85.23,True
9,2021-06-01,501,480,427,85.23,True
10,2021-07-01,501,480,427,85.23,True
11,2021-08-02,501,480,427,85.23,True
12,2021-09-01,501,480,427,85.23,True
13,2021-10-01,501,483,436,87.03,True
14,2021-11-01,501,483,436,87.03,True
15,2021-12-01,501,483,436,87.03,True
16,2022-01-03,501,483,436,87.03,True
17,2022-02-01,501,483,436,87.03,True
18,2022-03-02,501,483,436,87.03,True
19,2022-04-01,501,486,445,88.82,True
20,2022-05-02,501,486,445,88.82,True
21,2022-06-01,501,486,445,88.82,True
22,2022-07-01,501,486,445,88.82,True
23,2022-08-01,501,486,445,88.82,True
24,2022-09-01,501,486,445,88.82,True
25,2022-10-03,501,487,448,89.42,True
26,2022-11-01,501,487,448,89.42,True
27,2022-12-01,501,487,448,89.42,True
28,2023-01-02,501,487,448,89.42,True
29,2023-02-01,501,487,448,89.42,True
30,2023-03-01,501,487,448,89.42,True
31,2023-04-03,501,489,454,90.62,True
32,2023-05-02,501,489,454,90.62,True
33,2023-06-01,501,489,454,90.62,True
34,2023-07-03,501,489,454,90.62,True
35,2023-08-01,501,489,454,90.62,True
36,2023-09-01,501,489,454,90.62,True
37,2023-10-03,501,489,457,91.22,True
38,2023-11-01,501,489,457,91.22,True
39,2023-12-01,501,489,457,91.22,True
40,2024-01-01,501,489,456,91.02,True
41,2024-02-01,501,489,456,91.02,True
42,2024-03-01,501,489,457,91.22,True
43,2024-04-01,501,491,462,92.22,True
44,2024-05-02,501,491,462,92.22,True
45,2024-06-03,501,491,462,92.22,True
46,2024-07-01,501,491,462,92.22,True
47,2024-08-01,501,491,462,92.22,True
48,2024-09-02,501,491,462,92.22,True
49,2024-10-01,501,494,467,93.21,True
50,2024-11-01,501,494,467,93.21,True
51,2024-12-02,501,494,467,93.21,True
52,2025-01-01,501,494,467,93.21,True
53,2025-02-01,501,494,462,92.22,True
54,2025-03-03,501,494,468,93.41,True
55,2025-04-01,501,495,481,96.01,True
56,2025-05-02,501,495,481,96.01,True
57,2025-06-02,501,495,481,96.01,True
58,2025-07-01,501,495,481,96.01,True
59,2025-08-01,501,495,481,96.01,True
60,2025-09-01,501,495,481,96.01,True
61,2025-10-01,501,498,489,97.6,True
62,2025-11-03,501,498,489,97.6,True
63,2025-12-01,501,498,489,97.6,True
64,2026-01-01,501,498,489,97.6,True
65,2026-02-02,501,498,489,97.6,True
66,2026-03-02,501,498,489,97.6,True
67,2026-04-01,501,500,499,99.6,True
68,2026-05-04,501,500,499,99.6,True
69,2026-06-01,501,500,499,99.6,True
70,2026-07-01,501,500,499,99.6,True
71,2026-08-03,501,500,499,99.6,True
