date,portfolio_value,cash_balance,invested_capital,benchmark_value,drawdown,active_positions
2016-01-04,10000000.0,10000000.0,0.0,7791.2998046875,0.0,0
2016-01-05,10000000.0,10000000.0,0.0,7784.64990234375,0.0,0
2016-01-06,10000000.0,10000000.0,0.0,7741.0,0.0,0
2016-01-07,10000000.0,10000000.0,0.0,7568.2998046875,0.0,0
2016-01-08,10000000.0,10000000.0,0.0,7601.35009765625,0.0,0
2016-01-11,10000000.0,10000000.0,0.0,7563.85009765625,0.0,0
2016-01-12,10000000.0,10000000.0,0.0,7510.2998046875,0.0,0
2016-01-13,10000000.0,10000000.0,0.0,7562.39990234375,0.0,0
2016-01-14,10000000.0,10000000.0,0.0,7536.7998046875,0.0,0
2016-01-15,10000000.0,10000000.0,0.0,7437.7998046875,0.0,0
2016-01-18,10000000.0,10000000.0,0.0,7351.0,0.0,0
2016-01-19,10000000.0,10000000.0,0.0,7435.10009765625,0.0,0
2016-01-20,10000000.0,10000000.0,0.0,7309.2998046875,0.0,0
2016-01-21,10000000.0,10000000.0,0.0,7276.7998046875,0.0,0
2016-01-22,10000000.0,10000000.0,0.0,7422.4501953125,0.0,0
2016-01-25,10000000.0,10000000.0,0.0,7436.14990234375,0.0,0
2016-01-27,10000000.0,10000000.0,0.0,7437.75,0.0,0
2016-01-28,10000000.0,10000000.0,0.0,7424.64990234375,0.0,0
2016-01-29,10000000.0,10000000.0,0.0,7563.5498046875,0.0,0
2016-02-01,9945422.540619303,-6006.254380699014,9951428.795000002,7555.9501953125,-0.5457745938069691,20
2016-02-02,9806562.385619301,-6006.254380699014,9812568.64,7455.5498046875,-1.9343761438069818,20
2016-02-03,9681201.535619302,-6006.254380699014,9687207.790000001,7361.7998046875,-3.1879846438069848,20
2016-02-04,9643710.155619299,-6006.254380699014,9649716.409999998,7404.0,-3.5628984438070055,20
2016-02-05,9730311.190619301,-6006.254380699014,9736317.445,7489.10009765625,-2.696888093806993,20
2016-02-08,9675994.6306193,-6006.254380699014,9682000.885,7387.25,-3.240053693806999,20
2016-02-09,9572162.0406193,-6006.254380699014,9578168.295,7298.2001953125,-4.278379593806991,20
2016-02-10,9489722.380619302,-6006.254380699014,9495728.635000002,7215.7001953125,-5.10277619380698,20
2016-02-11,9109082.110619303,-6006.254380699014,9115088.365000002,6976.35009765625,-8.909178893806969,20
2016-02-12,9112135.705619302,-6006.254380699014,9118141.96,6980.9501953125,-8.87864294380698,20
2016-02-15,9396906.2206193,-6006.254380699014,9402912.475,7162.9501953125,-6.030937793807,20
2016-02-16,9257668.750619302,-6006.254380699014,9263675.005,7048.25,-7.423312493806988,20
2016-02-17,9304151.690619301,-6006.254380699014,9310157.945,7108.4501953125,-6.958483093806988,20
2016-02-18,9374652.855619302,-6006.254380699014,9380659.110000001,7191.75,-6.25347144380698,20
2016-02-19,9352742.900619298,-6006.254380699014,9358749.154999997,7210.75,-6.472570993807015,20
2016-02-22,9351541.390619298,-6006.254380699014,9357547.644999998,7234.5498046875,-6.484586093807021,20
2016-02-23,9252130.810619302,-6006.254380699014,9258137.065000001,7109.5498046875,-7.478691893806976,20
