train_window,test_window,start_date,end_date,trading_days,snapshots,strategy_return_pct,benchmark_return_pct,excess_return_pp,max_drawdown_pct,sharpe_ratio,trades_count,win_vs_benchmark,rule_r3_residual
2007–2011,2012,2012-01-01,2012-12-31,248,12,21.86,29.31,-7.45,16.9,0.88,29,LOSS,1.862645149230957e-09
2008–2012,2013,2013-01-01,2013-12-31,248,12,13.26,5.02,8.24,16.2,1.23,47,WIN,-3.725290298461914e-09
2009–2013,2014,2014-01-01,2014-12-31,244,12,53.71,30.65,23.06,14.26,2.32,32,WIN,1.862645149230957e-09
2010–2014,2015,2015-01-01,2015-12-31,246,12,3.14,-5.9,9.04,15.94,0.28,56,WIN,0.0
2011–2015,2016,2016-01-01,2016-12-31,246,12,0.24,-0.95,1.19,83.07,0.87,52,WIN,1.862645149230957e-09
2012–2016,2017,2017-01-01,2017-12-31,248,12,92.46,28.75,63.71,9.77,3.44,58,WIN,0.0
2013–2017,2018,2018-01-01,2018-12-31,246,12,-17.29,-2.08,-15.21,22.1,0.36,70,LOSS,-1.862645149230957e-09
2014–2018,2019,2019-01-01,2019-12-31,243,12,3.55,7.22,-3.67,76.67,0.81,50,LOSS,-3.725290298461914e-09
2015–2019,2020,2020-01-01,2020-12-31,251,12,4.1,14.77,-10.67,31.88,0.36,44,LOSS,-1.862645149230957e-09
2016–2020,2021,2021-01-01,2021-12-31,248,12,47.67,23.79,23.88,12.37,2.04,66,WIN,-1.862645149230957e-09
2017–2021,2022,2022-01-01,2022-12-31,248,12,12.06,2.72,9.34,23.23,0.6,63,WIN,-1.862645149230957e-09
2018–2022,2023,2023-01-01,2023-12-31,245,12,113.21,19.42,93.79,6.49,4.76,11,WIN,0.0
2019–2023,2024,2024-01-01,2024-12-31,246,12,52.13,8.75,43.38,15.5,1.68,60,WIN,0.0
2020–2024,2025–2026,2025-01-01,2026-08-31,416,20,9.75,0.68,9.07,16.25,0.64,71,WIN,1.862645149230957e-09
