combination_id,r2_factor,retracement_pct,ema_trend_days,lookback_days,portfolio_size,exit_rank_buffer,strategy_cagr_pct,benchmark_cagr_pct,excess_cagr_pp,max_drawdown_pct,sharpe_ratio,trades_count,beat_threshold,rule_r3_residual
1,0.85,15.0,150,126,15,30,21.82,11.14,10.68,37.43,0.91,607,PASS,1.4901161193847656e-08
2,0.85,15.0,150,126,20,40,22.49,11.14,11.35,36.55,0.88,768,PASS,0.0
3,0.85,15.0,150,189,15,30,24.49,11.14,13.35,39.6,0.91,535,PASS,0.0
4,0.85,15.0,150,189,20,40,23.92,11.14,12.78,35.01,0.92,676,PASS,1.4901161193847656e-08
5,0.85,15.0,150,252,15,30,22.16,11.14,11.02,39.13,0.84,509,PASS,-1.4901161193847656e-08
6,0.85,15.0,150,252,20,40,22.62,11.14,11.48,44.6,0.83,641,PASS,2.9802322387695312e-08
7,0.85,15.0,200,126,15,30,21.91,11.14,10.77,36.95,0.91,605,PASS,2.9802322387695312e-08
8,0.85,15.0,200,126,20,40,22.5,11.14,11.36,36.46,0.88,767,PASS,-1.4901161193847656e-08
9,0.85,15.0,200,189,15,30,24.54,11.14,13.4,39.38,0.91,534,PASS,-2.9802322387695312e-08
10,0.85,15.0,200,189,20,40,23.92,11.14,12.78,35.01,0.92,673,PASS,0.0
11,0.85,15.0,200,252,15,30,22.04,11.14,10.9,39.69,0.84,510,PASS,1.4901161193847656e-08
12,0.85,15.0,200,252,20,40,23.17,11.14,12.03,42.27,0.84,637,PASS,2.9802322387695312e-08
13,0.85,15.0,250,126,15,30,21.6,11.14,10.46,36.94,0.9,604,PASS,-1.4901161193847656e-08
14,0.85,15.0,250,126,20,40,22.28,11.14,11.14,36.47,0.87,766,PASS,2.9802322387695312e-08
15,0.85,15.0,250,189,15,30,24.42,11.14,13.28,40.11,0.91,533,PASS,1.4901161193847656e-08
16,0.85,15.0,250,189,20,40,23.63,11.14,12.49,35.01,0.89,672,PASS,1.4901161193847656e-08
17,0.85,15.0,250,252,15,30,21.99,11.14,10.85,40.5,0.83,507,PASS,2.9802322387695312e-08
18,0.85,15.0,250,252,20,40,23.0,11.14,11.86,43.13,0.82,636,PASS,2.9802322387695312e-08
19,0.8,20.0,150,126,15,30,23.28,11.14,12.14,37.32,0.95,566,PASS,0.0
