peak_date,trough_date,recovery_date,peak_value,trough_value,drawdown_depth_pct,days_to_trough,recovery_from_trough_days,recovery_from_trough_years,total_underwater_days,total_underwater_months,total_underwater_years,status
2018-01-11,2019-10-27,2021-06-02,22239515.95,12026633.48,-45.92,654,584,1.6,1238,40.7,3.39,RECOVERED
2025-01-02,2025-04-07,ONGOING (2026-08-31),94922559.14,61179400.7,-35.55,95,511,1.4,606,19.9,1.66,ONGOING
2016-08-08,2016-08-12,2016-08-19,12383526.18,8573037.83,-30.77,4,7,0.02,11,0.4,0.03,RECOVERED
2022-01-17,2022-06-20,2023-06-05,33045379.0,24676498.51,-25.33,154,350,0.96,504,16.6,1.38,RECOVERED
2016-09-07,2016-11-21,2017-03-29,12536535.81,10279265.02,-18.01,75,128,0.35,203,6.7,0.56,RECOVERED
2024-02-07,2024-03-13,2024-04-19,67292280.63,56432015.88,-16.14,35,37,0.1,72,2.4,0.2,RECOVERED
2024-06-03,2024-06-04,2024-06-13,80347719.45,70898209.21,-11.76,1,9,0.02,10,0.3,0.03,RECOVERED
2024-07-30,2024-10-07,2024-12-16,91373385.09,80956529.41,-11.4,69,70,0.19,139,4.6,0.38,RECOVERED
2017-05-16,2017-05-24,2017-07-17,14160557.57,12864574.64,-9.15,8,54,0.15,62,2.0,0.17,RECOVERED
2016-01-29,2016-02-11,2016-04-18,10000000.0,9109082.11,-8.91,13,67,0.18,80,2.6,0.22,RECOVERED
2024-05-02,2024-05-13,2024-05-21,73955969.08,68298089.2,-7.65,11,8,0.02,19,0.6,0.05,RECOVERED
2021-06-11,2021-08-23,2021-09-08,23895794.56,22107939.41,-7.48,73,16,0.04,89,2.9,0.24,RECOVERED
2021-10-18,2021-10-25,2021-11-09,27443158.64,25477228.09,-7.16,7,15,0.04,22,0.7,0.06,RECOVERED
2017-09-19,2017-09-27,2017-10-05,16589881.01,15479216.35,-6.69,8,8,0.02,16,0.5,0.04,RECOVERED
2017-08-07,2017-08-10,2017-08-30,14476189.41,13528786.42,-6.54,3,20,0.05,23,0.8,0.06,RECOVERED
2021-11-25,2021-11-29,2021-12-09,28963256.92,27192106.78,-6.12,4,10,0.03,14,0.5,0.04,RECOVERED
2023-09-11,2023-09-12,2023-11-07,52601058.48,49395513.47,-6.09,1,56,0.15,57,1.9,0.16,RECOVERED
