trade_id,ticker,signal_date,exec_date,side,shares,price,gross_value,net_costs,slippage,exit_reason
1,BALRAMCHIN,2016-02-01,2016-02-02,BUY,5341,93.59349999999999,499383.5,574.365932524961,499.38349999993807,
2,TORNTPOWER,2016-02-01,2016-02-02,BUY,2086,239.58934999999997,499284.1,574.2516076149768,499.28409999993164,
3,MUTHOOTFIN,2016-02-01,2016-02-02,BUY,2522,198.19799999999998,499356.0,574.3343034000136,499.35599999997066,
4,HINDZINC,2016-02-01,2016-02-02,BUY,3141,159.159,499419.0,574.4067628500634,499.4189999999944,
5,YESBANK,2016-02-01,2016-02-02,BUY,3232,154.63448,499279.36000000004,574.2461559039657,499.2793599999277,
6,SUNPHARMA,2016-02-01,2016-02-02,BUY,567,880.7298499999999,498874.95,573.7810237425147,498.8749499999685,
7,INFY,2016-02-01,2016-02-02,BUY,848,589.0134249999999,498984.39999999997,573.9069076599553,498.9843999998993,
8,IGL,2016-02-01,2016-02-02,BUY,4422,113.03292,499332.24000000005,574.3069758359925,499.3322399999597,
9,SUPREMEIND,2016-02-01,2016-02-02,BUY,666,749.69895,498800.7,573.6956251049996,498.8006999999634,
10,VAKRANGEE,2016-02-01,2016-02-02,BUY,5159,96.89679999999998,499391.2,574.3747886799392,499.39119999989634,
11,RAJESHEXPO,2016-02-01,2016-02-02,BUY,684,730.67995,499285.80000000005,574.253562870028,499.2857999999542,
12,FINPIPE,2016-02-01,2016-02-02,BUY,1546,323.2228999999999,499203.39999999997,574.1587905099732,499.2033999999403,
13,PRAJIND,2016-02-01,2016-02-02,BUY,5186,96.39629999999998,499411.8,574.3984817700111,499.41179999994347,
14,POWERGRID,2016-02-01,2016-02-02,BUY,3409,146.64649999999997,499418.5,574.4061877749627,499.41849999991246,
15,HCLTECH,2016-02-01,2016-02-02,BUY,1135,440.43999999999994,499400.0,574.3849099999643,499.39999999990687,
16,KRBL,2016-02-01,2016-02-02,BUY,2088,239.33909999999997,499240.8,574.2018061199924,499.2407999999705,
17,EMAMILTD,2016-02-01,2016-02-02,BUY,962,519.5189999999999,499278.0,574.2445916999131,499.27799999987474,
18,LAOPALA,2016-02-01,2016-02-02,BUY,1548,322.8225,499230.0,574.1893845000304,499.2299999999814,
19,RELIANCE,2016-02-01,2016-02-02,BUY,969,515.6651499999999,499180.35,574.1322795525193,499.18034999998054,
20,APOLLOHOSP,2016-02-01,2016-02-02,BUY,331,1508.4069,498783.9,573.6763025850523,498.78389999998035,
21,MUTHOOTFIN,2016-03-01,2016-03-02,SELL,2522,176.37345000000002,445259.10000000003,979.0357090799666,445.25909999996657,r3_exit
22,IGL,2016-03-01,2016-03-02,SELL,4422,106.92297,473286.66000000003,1040.6627080079834,473.2866599999834,r3_exit
23,RAJESHEXPO,2016-03-01,2016-03-02,SELL,684,708.291,484956.0,1066.3212527999474,484.9559999999474,r3_exit
24,PRAJIND,2016-03-01,2016-03-02,SELL,5186,78.5214,407619.6,896.2739764799762,407.61959999997634,r2_exit
25,POWERGRID,2016-03-01,2016-03-02,SELL,3409,134.865,460215.0,1011.9207419999674,460.2149999999674,r3_exit
26,HCLTECH,2016-03-01,2016-03-02,SELL,1135,418.0815,474997.5,1044.4245029999975,474.9974999999977,r3_exit
27,KRBL,2016-03-01,2016-03-02,SELL,2088,186.86295,390560.4,858.7642075200166,390.56040000001667,r2_exit
28,EMAMILTD,2016-03-01,2016-03-02,SELL,962,501.498,482924.0,1061.8532911999991,482.92399999999907,r3_exit
29,LAOPALA,2016-03-01,2016-03-02,SELL,1548,294.705,456660.0,1004.1040080000325,456.6600000000326,r3_exit
