symbol,shares,avg_cost_price,current_price,market_value,unrealized_pnl,pnl_pct,allocation_pct,rank_at_entry,entry_date
DIACABS,1399,364.0,364.0,509236.0,0.0,0.0,5.11,19,2026-08-24
TDPOWERSYS,649,775.0,775.0,502975.0,0.0,0.0,5.05,11,2026-08-24
SKYGOLD,620,808.4,808.4,501208.02,0.0,0.0,5.03,9,2026-08-24
CPPLUS,143,3500.0,3500.0,500500.0,0.0,0.0,5.02,5,2026-08-24
ACUTAAS,157,3189.1,3189.1,500688.72,0.0,0.0,5.02,16,2026-08-24
HFCL,2186,229.0,229.0,500594.0,0.0,0.0,5.02,7,2026-08-24
AETHER,306,1633.0,1633.0,499698.0,0.0,0.0,5.01,17,2026-08-24
CUPID,1751,285.5,285.5,499910.5,0.0,0.0,5.01,1,2026-08-24
ATHERENERG,340,1469.4,1469.4,499596.01,0.0,0.0,5.01,4,2026-08-24
TMB,567,878.95,878.95,498364.66,0.0,0.0,5.0,15,2026-08-24
FEDERALBNK,1380,360.45,360.45,497421.02,0.0,0.0,4.99,13,2026-08-24
AVALON,228,2183.8,2183.8,497906.41,0.0,0.0,4.99,18,2026-08-24
STLTECH,794,626.6,626.6,497520.38,0.0,0.0,4.99,3,2026-08-24
KTKBANK,1516,328.3,328.3,497702.78,0.0,0.0,4.99,20,2026-08-24
RRKABEL,170,2920.9,2920.9,496552.98,0.0,0.0,4.98,10,2026-08-24
LAURUSLABS,276,1800.0,1800.0,496800.0,0.0,0.0,4.98,12,2026-08-24
GRANULES,580,856.5,856.5,496770.0,0.0,0.0,4.98,14,2026-08-24
SANSERA,128,3876.9,3876.9,496243.19,0.0,0.0,4.98,6,2026-08-24
WELCORP,215,2290.0,2290.0,492350.0,0.0,0.0,4.94,8,2026-08-24
MTARTECH,70,6962.5,6962.5,487375.0,0.0,0.0,4.89,2,2026-08-24
CASH_INR,1,221.61,221.61,221.61,0.0,0.0,0.0,0,2026-08-24
TOTAL_PORTFOLIO,13475,9969634.27,9969634.27,9969634.27,0.0,0.0,100.0,0,2026-08-24
