symbol,shares,avg_cost_price,current_price,market_value,unrealized_pnl,pnl_pct,allocation_pct,rank_at_entry,entry_date
STLTECH,794,626.6,745.0,591530.0,94009.62,18.9,5.78,3,2026-08-24
ATHERENERG,340,1469.4,1655.0,562700.0,63103.99,12.63,5.5,4,2026-08-24
HFCL,2186,229.0,254.2,555681.19,55087.19,11.0,5.43,7,2026-08-24
LAURUSLABS,276,1800.0,1945.0,536820.0,40020.0,8.06,5.25,12,2026-08-24
AETHER,306,1633.0,1703.4,521240.41,21542.41,4.31,5.1,17,2026-08-24
ACUTAAS,157,3189.1,3281.6,515211.22,14522.5,2.9,5.04,16,2026-08-24
CPPLUS,143,3500.0,3576.4,511425.19,10925.19,2.18,5.0,5,2026-08-24
AVALON,228,2183.8,2244.0,511632.0,13725.59,2.76,5.0,18,2026-08-24
WELCORP,215,2290.0,2350.5,505357.5,13007.5,2.64,4.94,8,2026-08-24
SKYGOLD,620,808.4,811.95,503409.01,2200.99,0.44,4.92,9,2026-08-24
KTKBANK,1516,328.3,331.0,501796.0,4093.22,0.82,4.91,20,2026-08-24
TMB,567,878.95,886.05,502390.34,4025.69,0.81,4.91,15,2026-08-24
CUPID,1751,285.5,283.85,497021.36,-2889.14,-0.58,4.86,1,2026-08-24
SANSERA,128,3876.9,3858.9,493939.19,-2304.0,-0.46,4.83,6,2026-08-24
RRKABEL,170,2920.9,2900.0,493000.0,-3552.98,-0.72,4.82,10,2026-08-24
TDPOWERSYS,649,775.0,760.0,493240.0,-9735.0,-1.94,4.82,11,2026-08-24
DIACABS,1399,364.0,349.0,488251.0,-20985.0,-4.12,4.77,19,2026-08-24
MTARTECH,70,6962.5,6950.0,486500.0,-875.0,-0.18,4.76,2,2026-08-24
GRANULES,580,856.5,832.5,482850.0,-13920.0,-2.8,4.72,14,2026-08-24
FEDERALBNK,1380,360.45,342.6,472788.01,-24633.01,-4.95,4.62,13,2026-08-24
CASH_INR,1,221.61,221.61,221.61,0.0,0.0,0.0,0,2026-08-31
TOTAL_PORTFOLIO,13475,10227004.02,10227004.02,10227004.02,257369.76,2.52,100.0,0,2026-08-31
