order_id,action,symbol,shares,reference_price,gross_value,brokerage,stt,stamp_duty,exchange_charges,sebi_charges,gst,dp_charges,slippage_buffer,total_friction,net_cash_impact,current_rank,reason
ORD-001,BUY,CUPID,1751,284.58,498299.58,149.49,498.3,74.74,17.19,0.5,30.09,0.0,747.45,1517.77,-499817.35,1,INITIAL_PORTFOLIO_DEPLOYMENT
ORD-002,BUY,MTARTECH,70,7029.5,492065.0,147.62,492.06,73.81,16.98,0.49,29.72,0.0,738.1,1498.78,-493563.78,2,INITIAL_PORTFOLIO_DEPLOYMENT
ORD-003,BUY,STLTECH,794,627.15,497957.1,149.39,497.96,74.69,17.18,0.5,30.07,0.0,746.94,1516.72,-499473.82,3,INITIAL_PORTFOLIO_DEPLOYMENT
ORD-004,BUY,ATHERENERG,340,1462.0,497080.0,149.12,497.08,74.56,17.15,0.5,30.02,0.0,745.62,1514.05,-498594.05,4,INITIAL_PORTFOLIO_DEPLOYMENT
ORD-005,BUY,CPPLUS,143,3475.5,496996.5,149.1,497.0,74.55,17.15,0.5,30.01,0.0,745.49,1513.8,-498510.3,5,INITIAL_PORTFOLIO_DEPLOYMENT
ORD-006,BUY,SANSERA,128,3876.9,496243.2,148.87,496.24,74.44,17.12,0.5,29.97,0.0,744.36,1511.5,-497754.7,6,INITIAL_PORTFOLIO_DEPLOYMENT
ORD-007,BUY,HFCL,2186,228.01,498429.86,149.53,498.43,74.76,17.2,0.5,30.1,0.0,747.64,1518.16,-499948.02,7,INITIAL_PORTFOLIO_DEPLOYMENT
ORD-008,BUY,WELCORP,215,2311.9,497058.5,149.12,497.06,74.56,17.15,0.5,30.02,0.0,745.59,1513.99,-498572.49,8,INITIAL_PORTFOLIO_DEPLOYMENT
ORD-009,BUY,SKYGOLD,620,803.5,498170.0,149.45,498.17,74.73,17.19,0.5,30.08,0.0,747.25,1517.37,-499687.37,9,INITIAL_PORTFOLIO_DEPLOYMENT
ORD-010,BUY,RRKABEL,170,2919.3,496281.0,148.88,496.28,74.44,17.12,0.5,29.97,0.0,744.42,1511.62,-497792.62,10,INITIAL_PORTFOLIO_DEPLOYMENT
ORD-011,BUY,TDPOWERSYS,649,767.4,498042.6,149.41,498.04,74.71,17.18,0.5,30.08,0.0,747.06,1516.98,-499559.58,11,INITIAL_PORTFOLIO_DEPLOYMENT
ORD-012,BUY,LAURUSLABS,276,1802.0,497352.0,149.21,497.35,74.6,17.16,0.5,30.04,0.0,746.03,1514.88,-498866.88,12,INITIAL_PORTFOLIO_DEPLOYMENT
ORD-013,BUY,FEDERALBNK,1380,361.0,498180.0,149.45,498.18,74.73,17.19,0.5,30.09,0.0,747.27,1517.4,-499697.4,13,INITIAL_PORTFOLIO_DEPLOYMENT
ORD-014,BUY,GRANULES,580,858.15,497727.0,149.32,497.73,74.66,17.17,0.5,30.06,0.0,746.59,1516.02,-499243.02,14,INITIAL_PORTFOLIO_DEPLOYMENT
ORD-015,BUY,TMB,567,878.55,498137.85,149.44,498.14,74.72,17.19,0.5,30.08,0.0,747.21,1517.27,-499655.12,15,INITIAL_PORTFOLIO_DEPLOYMENT
ORD-016,BUY,ACUTAAS,157,3169.0,497533.0,149.26,497.53,74.63,17.16,0.5,30.05,0.0,746.3,1515.43,-499048.43,16,INITIAL_PORTFOLIO_DEPLOYMENT
ORD-017,BUY,AETHER,306,1626.6,497739.6,149.32,497.74,74.66,17.17,0.5,30.06,0.0,746.61,1516.06,-499255.66,17,INITIAL_PORTFOLIO_DEPLOYMENT
ORD-018,BUY,AVALON,228,2183.8,497906.4,149.37,497.91,74.69,17.18,0.5,30.07,0.0,746.86,1516.57,-499422.97,18,INITIAL_PORTFOLIO_DEPLOYMENT
ORD-019,BUY,DIACABS,1399,356.1,498183.9,149.46,498.18,74.73,17.19,0.5,30.09,0.0,747.28,1517.41,-499701.31,19,INITIAL_PORTFOLIO_DEPLOYMENT
ORD-020,BUY,KTKBANK,1518,328.3,498359.4,149.51,498.36,74.75,17.19,0.5,30.1,0.0,747.54,1517.95,-499877.35,20,INITIAL_PORTFOLIO_DEPLOYMENT
