order_id,action,symbol,shares,reference_price,gross_value,brokerage,stt,stamp_duty,exchange_charges,sebi_charges,gst,dp_charges,slippage_buffer,total_friction,net_cash_impact,current_rank,reason
ORD-001,HOLD,CUPID,1751,282.33,494359.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,RETAINED_WITHIN_BUFFER (Rank 1 <= 40)
ORD-002,HOLD,STLTECH,794,723.75,574657.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,RETAINED_WITHIN_BUFFER (Rank 2 <= 40)
ORD-003,HOLD,MTARTECH,70,6997.0,489790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,RETAINED_WITHIN_BUFFER (Rank 3 <= 40)
ORD-004,HOLD,ATHERENERG,340,1616.3,549542.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,RETAINED_WITHIN_BUFFER (Rank 4 <= 40)
ORD-005,HOLD,SANSERA,128,3859.0,493952.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,RETAINED_WITHIN_BUFFER (Rank 5 <= 40)
ORD-006,HOLD,HFCL,2186,251.47,549713.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,RETAINED_WITHIN_BUFFER (Rank 6 <= 40)
ORD-007,HOLD,WELCORP,215,2373.8,510367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,RETAINED_WITHIN_BUFFER (Rank 7 <= 40)
ORD-008,HOLD,LAURUSLABS,276,1938.5,535026.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,RETAINED_WITHIN_BUFFER (Rank 8 <= 40)
ORD-009,HOLD,CPPLUS,143,3576.6,511453.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,RETAINED_WITHIN_BUFFER (Rank 9 <= 40)
ORD-010,HOLD,RRKABEL,170,2905.2,493884.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,RETAINED_WITHIN_BUFFER (Rank 10 <= 40)
ORD-011,HOLD,TDPOWERSYS,649,752.7,488502.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,RETAINED_WITHIN_BUFFER (Rank 11 <= 40)
ORD-012,HOLD,SKYGOLD,620,811.4,503068.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,RETAINED_WITHIN_BUFFER (Rank 12 <= 40)
ORD-013,HOLD,AETHER,306,1696.8,519220.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,RETAINED_WITHIN_BUFFER (Rank 13 <= 40)
ORD-014,HOLD,FEDERALBNK,1380,344.25,475065.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,RETAINED_WITHIN_BUFFER (Rank 14 <= 40)
ORD-015,HOLD,AVALON,228,2231.7,508827.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,RETAINED_WITHIN_BUFFER (Rank 15 <= 40)
ORD-016,HOLD,DIACABS,1399,349.4,488810.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,RETAINED_WITHIN_BUFFER (Rank 19 <= 40)
ORD-017,HOLD,ACUTAAS,157,3281.6,515211.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,RETAINED_WITHIN_BUFFER (Rank 20 <= 40)
ORD-018,HOLD,TMB,567,886.05,502390.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,RETAINED_WITHIN_BUFFER (Rank 21 <= 40)
ORD-019,HOLD,KTKBANK,1516,330.35,500810.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,RETAINED_WITHIN_BUFFER (Rank 23 <= 40)
ORD-020,HOLD,GRANULES,580,836.65,485257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,RETAINED_WITHIN_BUFFER (Rank 25 <= 40)
