rank,symbol,close,high_252,retracement_pct,ema_200,ret_252,vol_252,volar_score,rs_ratio,rs_ema_200,filter1_pass,filter2_pass,filter3_pass,is_qualified
1,CUPID,282.33,299.0,-5.58,151.31,730.58,57.5,12.7065,0.011719,0.006241,True,True,True,True
2,STLTECH,723.75,728.6,-0.67,397.15,475.55,61.73,7.7038,0.030043,0.016447,True,True,True,True
3,MTARTECH,6997.0,8714.0,-19.7,5338.5,379.97,60.83,6.2464,0.290442,0.220731,True,True,True,True
4,ATHERENERG,1616.3,1630.0,-0.84,993.03,274.58,49.59,5.537,0.067092,0.040898,True,True,True,True
5,SANSERA,3859.0,4040.4,-4.49,2684.13,208.76,40.07,5.2095,0.160185,0.110622,True,True,True,True
6,HFCL,251.47,255.1,-1.42,149.13,250.64,48.73,5.1432,0.010438,0.006158,True,True,True,True
7,WELCORP,2373.8,2443.9,-2.87,1324.92,172.39,39.1,4.4095,0.098535,0.054599,True,True,True,True
8,LAURUSLABS,1938.5,1938.5,0.0,1335.32,123.57,28.95,4.2677,0.080466,0.054958,True,True,True,True
9,CPPLUS,3576.6,4094.0,-12.64,2701.51,178.9,43.34,4.1275,0.148463,0.111528,True,True,True,True
10,RRKABEL,2905.2,2983.8,-2.63,1988.46,144.61,37.19,3.8883,0.120594,0.081867,True,True,True,True
11,TDPOWERSYS,752.7,798.85,-5.78,527.74,202.41,52.74,3.838,0.031244,0.021758,True,True,True,True
12,SKYGOLD,811.4,868.8,-6.61,509.08,166.21,48.25,3.4445,0.033681,0.020967,True,True,True,True
13,AETHER,1696.8,1717.0,-1.18,1211.24,130.54,38.54,3.387,0.070433,0.049873,True,True,True,True
14,FEDERALBNK,344.25,370.43,-7.07,299.34,79.48,25.44,3.1237,0.01429,0.012309,True,True,True,True
15,AVALON,2231.7,2351.0,-5.07,1428.82,164.51,52.74,3.1193,0.092637,0.058858,True,True,True,True
16,GRWRHITECH,7224.5,7990.0,-9.58,5391.31,167.29,54.05,3.0953,0.299886,0.22216,True,True,True,True
17,MCX,3332.0,3471.49,-4.02,2623.57,117.12,37.87,3.0925,0.13831,0.108039,True,True,True,True
18,SHILPAMED,903.8,919.0,-1.65,521.68,121.58,39.74,3.0595,0.037516,0.021486,True,True,True,True
