rank,symbol,sector,close,high_252,distance_52wh_pct,ema_200,ema_200_ratio,ret_252,vol_252,volar_score,volume,is_delisted,filter1_pass,filter2_pass,filter3_pass,is_qualified,rrg_rs_ratio,rrg_rs_momentum,rrg_quadrant,passed_rrg
1,CUPID,PHARMA,282.33,299.0,-5.58,151.31,1.8659,730.58,57.5,12.7065,15411651.0,False,True,True,True,True,121.67,96.24,WEAKENING,True
2,STLTECH,INFRA_MEDIA,723.75,728.6,-0.67,397.15,1.8224,475.55,61.73,7.7038,2106053.0,False,True,True,True,True,122.5,110.28,LEADING,True
3,MTARTECH,CAPGOODS,6997.0,8714.0,-19.7,5338.5,1.3107,379.97,60.83,6.2464,69305.0,False,True,True,True,True,103.5,101.38,LEADING,True
4,ATHERENERG,AUTO,1616.3,1630.0,-0.84,993.03,1.6276,274.58,49.59,5.537,14538878.0,False,True,True,True,True,125.56,105.95,LEADING,True
5,SANSERA,AUTO,3859.0,4040.4,-4.49,2684.13,1.4377,208.76,40.07,5.2095,65476.0,False,True,True,True,True,112.45,97.33,WEAKENING,True
6,HFCL,INFRA_MEDIA,251.47,255.1,-1.42,149.13,1.6863,250.64,48.73,5.1432,17035686.0,False,True,True,True,True,117.48,105.93,LEADING,True
7,WELCORP,METALS,2373.8,2443.9,-2.87,1324.92,1.7917,172.39,39.1,4.4095,1342665.0,False,True,True,True,True,136.99,103.79,LEADING,True
8,LAURUSLABS,PHARMA,1938.5,1938.5,0.0,1335.32,1.4517,123.57,28.95,4.2677,2231476.0,False,True,True,True,True,116.37,102.72,LEADING,True
9,CPPLUS,CAPGOODS,3576.6,4094.0,-12.64,2701.51,1.3239,178.9,43.34,4.1275,138494.0,False,True,True,True,True,100.91,104.13,LEADING,True
10,RRKABEL,CAPGOODS,2905.2,2983.8,-2.63,1988.46,1.461,144.61,37.19,3.8883,629274.0,False,True,True,True,True,114.23,100.33,LEADING,True
11,TDPOWERSYS,CAPGOODS,752.7,798.85,-5.78,527.74,1.4263,202.41,52.74,3.838,955212.0,False,True,True,True,True,120.2,97.63,WEAKENING,True
12,SKYGOLD,CONSDUR,811.4,868.8,-6.61,509.08,1.5939,166.21,48.25,3.4445,908866.0,False,True,True,True,True,122.36,96.88,WEAKENING,True
13,AETHER,CHEMICALS,1696.8,1717.0,-1.18,1211.24,1.4009,130.54,38.54,3.387,443550.0,False,True,True,True,True,114.09,100.4,LEADING,True
14,FEDERALBNK,FINSERV,344.25,370.43,-7.07,299.34,1.15,79.48,25.44,3.1237,3391019.0,False,True,True,True,True,100.69,97.34,WEAKENING,True
15,AVALON,CAPGOODS,2231.7,2351.0,-5.07,1428.82,1.5619,164.51,52.74,3.1193,239819.0,False,True,True,True,True,120.79,100.13,LEADING,True
16,GRWRHITECH,CHEMICALS,7224.5,7990.0,-9.58,5391.31,1.34,167.29,54.05,3.0953,88184.0,False,True,True,True,True,103.67,100.89,LEADING,True
17,MCX,FINSERV,3332.0,3471.49,-4.02,2623.57,1.27,117.12,37.87,3.0925,1360874.0,False,True,True,True,True,117.02,104.32,LEADING,True
18,SHILPAMED,PHARMA,903.8,919.0,-1.65,521.68,1.7325,121.58,39.74,3.0595,879302.0,False,True,True,True,True,133.05,103.13,LEADING,True
19,DIACABS,CAPGOODS,349.4,379.0,-7.81,211.28,1.6537,141.88,46.67,3.0403,905525.0,False,True,True,True,True,122.62,95.29,WEAKENING,True
20,ACUTAAS,CHEMICALS,3281.6,3740.0,-12.26,2677.55,1.2256,132.38,43.76,3.0251,240776.0,False,True,True,True,True,98.02,100.95,IMPROVING,True
21,TMB,FINSERV,886.05,917.0,-3.38,694.16,1.2764,111.69,37.25,2.998,80734.0,False,True,True,True,True,108.5,101.17,LEADING,True
22,NATIONALUM,METALS,394.95,443.37,-10.92,350.59,1.1265,122.47,41.36,2.9613,1868958.0,False,True,True,True,True,109.36,100.69,LEADING,True
23,KTKBANK,FINSERV,330.35,341.0,-3.12,252.08,1.3105,99.6,33.78,2.948,1698579.0,False,True,True,True,True,114.31,99.88,WEAKENING,True
24,BHEL,CAPGOODS,430.85,446.5,-3.51,348.75,1.2354,104.37,35.7,2.9237,5837847.0,False,True,True,True,True,105.69,102.08,LEADING,True
25,GRANULES,PHARMA,836.65,908.11,-7.87,718.12,1.1651,81.98,28.96,2.8307,328237.0,False,True,True,True,True,99.67,98.69,LAGGING,True
26,APARINDS,CAPGOODS,17803.0,18465.0,-3.59,12583.38,1.4148,125.88,45.47,2.7685,120837.0,False,True,True,True,True,116.32,104.08,LEADING,True
