rank,symbol,close,high_252,retracement_pct,ema_200,ret_252,vol_252,volar_score,rs_ratio,rs_ema_200,filter1_pass,filter2_pass,filter3_pass,is_qualified
1,CUPID,284.58,299.0,-4.82,144.27,728.18,57.52,12.659,0.011734,0.005949,True,True,True,True
2,MTARTECH,7029.5,8714.0,-19.33,5247.37,363.96,60.82,5.9847,0.289852,0.216967,True,True,True,True
3,STLTECH,627.15,683.5,-8.24,381.99,355.84,61.89,5.75,0.02586,0.015822,True,True,True,True
4,ATHERENERG,1462.0,1580.0,-7.47,965.98,235.36,49.2,4.7838,0.060284,0.039771,True,True,True,True
5,CPPLUS,3475.5,4094.0,-15.11,2656.74,212.55,44.88,4.7359,0.143308,0.109667,True,True,True,True
6,SANSERA,3876.9,4040.4,-4.05,2621.89,188.8,40.26,4.6893,0.159859,0.108033,True,True,True,True
7,HFCL,228.01,234.4,-2.73,144.18,206.99,48.67,4.2528,0.009402,0.005953,True,True,True,True
8,WELCORP,2311.9,2348.9,-1.58,1269.44,163.89,38.65,4.2407,0.095328,0.052298,True,True,True,True
9,SKYGOLD,803.5,848.0,-5.25,492.11,191.39,49.71,3.8503,0.033131,0.020263,True,True,True,True
10,RRKABEL,2919.3,2931.4,-0.41,1942.52,140.83,37.04,3.8019,0.120374,0.079952,True,True,True,True
11,TDPOWERSYS,767.4,798.85,-3.94,515.83,195.38,52.48,3.7226,0.031643,0.021263,True,True,True,True
12,LAURUSLABS,1802.0,1870.8,-3.68,1305.49,104.24,28.81,3.6183,0.074303,0.053714,True,True,True,True
13,FEDERALBNK,361.0,370.43,-2.55,296.65,82.17,25.29,3.2491,0.014885,0.012194,True,True,True,True
14,GRANULES,858.15,908.11,-5.5,711.5,86.4,28.86,2.9932,0.035385,0.029281,True,True,True,True
15,TMB,878.55,917.0,-4.19,683.79,109.67,37.14,2.9526,0.036226,0.028142,True,True,True,True
16,ACUTAAS,3169.0,3740.0,-15.27,2644.46,127.19,43.49,2.9243,0.13067,0.10908,True,True,True,True
17,AETHER,1626.6,1692.0,-3.87,1186.8,112.47,38.57,2.9164,0.067071,0.048854,True,True,True,True
18,AVALON,2183.8,2351.0,-7.11,1387.93,152.52,52.49,2.9055,0.090046,0.057158,True,True,True,True
19,DIACABS,356.1,379.0,-6.04,204.18,134.43,46.53,2.8892,0.014683,0.008399,True,True,True,True
20,KTKBANK,328.3,338.25,-2.94,247.75,95.78,33.61,2.8494,0.013537,0.010198,True,True,True,True
21,NATIONALUM,393.45,443.37,-11.26,347.95,115.5,41.28,2.7978,0.016223,0.014326,True,True,True,True
22,NETWEB,5601.0,5674.8,-1.3,3950.29,163.84,59.55,2.751,0.23095,0.162479,True,True,True,True
23,SONACOMS,817.6,844.0,-3.13,603.24,80.7,30.84,2.6171,0.033713,0.024805,True,True,True,True
24,ANANDRATHI,2188.0,2230.0,-1.88,1767.63,55.63,21.79,2.5526,0.090219,0.072679,True,True,True,True
25,BHARATFORG,2063.0,2295.0,-10.11,1833.63,74.89,29.36,2.5507,0.085065,0.075472,True,True,True,True
26,GRWRHITECH,7123.5,7990.0,-10.84,5295.61,137.61,54.57,2.5216,0.293728,0.218177,True,True,True,True
27,BHEL,413.0,446.5,-7.5,344.72,88.59,35.55,2.4917,0.01703,0.01419,True,True,True,True
28,CHENNPETRO,1393.5,1489.7,-6.46,1018.18,123.39,50.29,2.4537,0.057459,0.041889,True,True,True,True
29,MCX,3177.22,3471.49,-8.48,2586.5,91.98,38.08,2.4153,0.131008,0.106487,True,True,True,True
30,PARAS,1498.57,1583.91,-5.39,958.29,120.29,50.21,2.3956,0.061792,0.039425,True,True,True,True
31,RATEGAIN,990.05,1050.0,-5.71,734.78,104.41,43.86,2.3803,0.040823,0.030186,True,True,True,True
