date,value,cash,holdings_count,peak,dd
2026-01-01,9948640.789540963,22804.76303644653,20,9948640.789540963,0.0
2026-01-02,9998254.786351876,22804.76303644653,20,9998254.786351876,0.0
2026-01-05,10049268.922612863,22804.76303644653,20,10049268.922612863,0.0
2026-01-06,10071831.559896188,22804.76303644653,20,10071831.559896188,0.0
2026-01-07,10041359.33658381,22804.76303644653,20,10071831.559896188,-0.0030254897663014543
2026-01-08,9861632.532384591,22804.76303644653,20,10071831.559896188,-0.020869990354938306
2026-01-09,9710730.069524484,22804.76303644653,20,10071831.559896188,-0.03585261411733002
2026-01-12,9770512.256917672,22804.76303644653,20,10071831.559896188,-0.02991703159317146
2026-01-13,9779313.771840768,22804.76303644653,20,10071831.559896188,-0.02904315727639462
2026-01-14,9855844.10069819,22804.76303644653,20,10071831.559896188,-0.021444705256788894
2026-01-15,9846524.15435624,22804.76303644653,20,10071831.559896188,-0.022370052973986667
2026-01-16,9898188.27963801,22804.76303644653,20,10071831.559896188,-0.017240486918942127
2026-01-19,9882942.461019235,22804.76303644653,20,10071831.559896188,-0.01875419557541727
2026-01-20,9621882.423131661,22804.76303644653,20,10071831.559896188,-0.044674013270448704
2026-01-21,9507486.754598336,22804.76303644653,20,10071831.559896188,-0.05603199397664156
2026-01-22,9564966.054967599,22804.76303644653,20,10071831.559896188,-0.050325057752833705
2026-01-23,9453253.37248774,22804.76303644653,20,10071831.559896188,-0.06141665333954642
2026-01-27,9487603.348104196,22804.76303644653,20,10071831.559896188,-0.058006153927182426
2026-01-28,9616564.279821115,22804.76303644653,20,10071831.559896188,-0.045202034740915165
2026-01-29,9704763.025640206,22804.76303644653,20,10071831.559896188,-0.03644506285406593
2026-01-30,9615885.188192086,22804.76303644653,20,10071831.559896188,-0.045269459580676415
2026-02-02,9471494.422374256,2324113.479869372,15,10071831.559896188,-0.05960555773314776
2026-02-03,9660015.457377918,2324113.479869372,15,10071831.559896188,-0.0408879060446196
2026-02-04,9708377.616160877,2324113.479869372,15,10071831.559896188,-0.03608618170130091
2026-02-05,9693573.405345447,2324113.479869372,15,10071831.559896188,-0.037556044528870104
2026-02-06,9714302.297374256,2324113.479869372,15,10071831.559896188,-0.03549793901891038
2026-02-09,9899613.571727283,2324113.479869372,15,10071831.559896188,-0.017098974217821375
2026-02-10,9900712.706370838,2324113.479869372,15,10071831.559896188,-0.016989844648187664
2026-02-11,9973838.510982044,2324113.479869372,15,10071831.559896188,-0.009729416971619196
2026-02-12,10077705.38276244,2324113.479869372,15,10077705.38276244,0.0
2026-02-13,9894075.722255237,2324113.479869372,15,10077705.38276244,-0.018221376149901564
2026-02-16,9895934.097453602,2324113.479869372,15,10077705.38276244,-0.018036971553043343
2026-02-17,9933536.846034534,2324113.479869372,15,10077705.38276244,-0.014305690755209067
2026-02-18,9991933.107387073,2324113.479869372,15,10077705.38276244,-0.008511091773140805
2026-02-19,9922558.032802112,2324113.479869372,15,10077705.38276244,-0.015395106729921003
2026-02-20,9967443.106868275,2324113.479869372,15,10077705.38276244,-0.010941208509901944
2026-02-23,9959259.834422596,2324113.479869372,15,10077705.38276244,-0.011753225941933239
2026-02-24,9951604.497157581,2324113.479869372,15,10077705.38276244,-0.012512856926791046
2026-02-25,10052372.1922412,2324113.479869372,15,10077705.38276244,-0.0025137855850173754
2026-02-26,10056246.67168761,2324113.479869372,15,10077705.38276244,-0.002129325105249998
2026-02-27,9863085.859736927,2324113.479869372,15,10077705.38276244,-0.021296467288338457
2026-03-02,9745451.381043695,4298042.4644787535,11,10077705.38276244,-0.0329692116508043
2026-03-04,9582521.644532464,4298042.4644787535,11,10077705.38276244,-0.04913655633126262
2026-03-05,9661750.391480707,4298042.4644787535,11,10077705.38276244,-0.041274771933024486
2026-03-06,9568438.359147333,4298042.4644787535,11,10077705.38276244,-0.05053402577993501
2026-03-09,9463929.966630243,4298042.4644787535,11,10077705.38276244,-0.060904282554443204
2026-03-10,9649855.145447992,4298042.4644787535,11,10077705.38276244,-0.04245512456102066
2026-03-11,9523489.560075067,4298042.4644787535,11,10077705.38276244,-0.05499424736461727
2026-03-12,9451371.023759149,4298042.4644787535,11,10077705.38276244,-0.06215049311469389
2026-03-13,9280557.87065246,4298042.4644787535,11,10077705.38276244,-0.07910010084969071
2026-03-16,9296566.685242914,4298042.4644787535,11,10077705.38276244,-0.07751156318338459
2026-03-17,9359514.928590082,4298042.4644787535,11,10077705.38276244,-0.07126527586337238
2026-03-18,9453041.645112298,4298042.4644787535,11,10077705.38276244,-0.06198471913245315
2026-03-19,9257673.984757684,4298042.4644787535,11,10077705.38276244,-0.08137084453841946
2026-03-20,9313602.710953973,4298042.4644787535,11,10077705.38276244,-0.07582109644874488
2026-03-23,9112489.090562128,4298042.4644787535,11,10077705.38276244,-0.09577738736550886
2026-03-24,9242742.260987543,4298042.4644787535,11,10077705.38276244,-0.0828525036267752
2026-03-25,9361461.614777826,4298042.4644787535,11,10077705.38276244,-0.07107210826084712
2026-03-27,9195678.431153558,4298042.4644787535,11,10077705.38276244,-0.0875225974672327
2026-03-30,9030129.944138788,4298042.4644787535,11,10077705.38276244,-0.10394979797836647
2026-04-01,9092205.974571556,7667200.413841574,3,10077705.38276244,-0.09779005941933426
2026-04-02,9088882.977623314,7667200.413841574,3,10077705.38276244,-0.09811979687662549
2026-04-06,9114745.23763308,7667200.413841574,3,10077705.38276244,-0.09555351228827047
2026-04-07,9105799.928062767,7667200.413841574,3,10077705.38276244,-0.09644114585469851
2026-04-08,9139563.108116478,7667200.413841574,3,10077705.38276244,-0.09309086136320488
2026-04-09,9137640.452019066,7667200.413841574,3,10077705.38276244,-0.09328164448539267
2026-04-10,9155151.986351341,7667200.413841574,3,10077705.38276244,-0.09154399353538294
2026-04-13,9136647.05013308,7667200.413841574,3,10077705.38276244,-0.09338021869928917
2026-04-15,9160524.515831321,7667200.413841574,3,10077705.38276244,-0.09101088314210135
2026-04-16,9151288.109642357,7667200.413841574,3,10077705.38276244,-0.0919274019167783
2026-04-17,9162181.710625023,7667200.413841574,3,10077705.38276244,-0.09084644146309218
2026-04-20,9170358.580284446,7667200.413841574,3,10077705.38276244,-0.09003505937273953
2026-04-21,9171565.62636599,7667200.413841574,3,10077705.38276244,-0.08991528547226338
2026-04-22,9168478.038963646,7667200.413841574,3,10077705.38276244,-0.09022166349038098
2026-04-23,9174162.075676292,7667200.413841574,3,10077705.38276244,-0.08965764256530324
2026-04-24,9181356.342155784,7667200.413841574,3,10077705.38276244,-0.08894376314471632
2026-04-27,9169822.719566673,7667200.413841574,3,10077705.38276244,-0.09008823226254142
2026-04-28,9158330.441154808,7667200.413841574,3,10077705.38276244,-0.0912285988415766
2026-04-29,9192024.334953636,7667200.413841574,3,10077705.38276244,-0.08788518955155505
2026-04-30,9200800.936546654,7667200.413841574,3,10077705.38276244,-0.08701429669850244
2026-05-01,9126381.083985768,21976.873719654104,20,10077705.38276244,-0.09439889961497366
2026-05-04,9163309.972001515,21976.873719654104,20,10077705.38276244,-0.09073448528520842
2026-05-05,9260051.963426076,21976.873719654104,20,10077705.38276244,-0.08113488024118377
2026-05-06,9224715.395753346,21976.873719654104,20,10077705.38276244,-0.08464129031476773
2026-05-07,9389100.587892018,21976.873719654104,20,10077705.38276244,-0.068329522318469
2026-05-08,9365720.557725392,21976.873719654104,20,10077705.38276244,-0.07064949787625983
2026-05-11,9250934.653169118,21976.873719654104,20,10077705.38276244,-0.08203958125303841
2026-05-12,9000494.173737966,21976.873719654104,20,10077705.38276244,-0.10689052399438129
2026-05-13,9079497.265778981,21976.873719654104,20,10077705.38276244,-0.09905113109288333
2026-05-14,9191016.095353566,21976.873719654104,20,10077705.38276244,-0.08798523609605856
2026-05-15,9162120.05471941,21976.873719654104,20,10077705.38276244,-0.09085255951311151
2026-05-18,9096512.197556935,21976.873719654104,20,10077705.38276244,-0.09736275748681845
2026-05-19,9154286.869965993,21976.873719654104,20,10077705.38276244,-0.0916298381153235
2026-05-20,9312758.96702715,21976.873719654104,20,10077705.38276244,-0.0759048202623291
2026-05-21,9387530.390519582,21976.873719654104,20,10077705.38276244,-0.06848533133577986
2026-05-22,9311276.664704762,21976.873719654104,20,10077705.38276244,-0.0760519075471909
2026-05-25,9391742.034516774,21976.873719654104,20,10077705.38276244,-0.06806741437579447
2026-05-26,9509203.482240163,21976.873719654104,20,10077705.38276244,-0.0564118396926625
2026-05-27,9683346.818604909,21976.873719654104,20,10077705.38276244,-0.03913178141048528
2026-05-28,9683346.818604909,21976.873719654104,20,10077705.38276244,-0.03913178141048528
2026-05-29,9605972.703004323,21976.873719654104,20,10077705.38276244,-0.046809532710194
2026-06-01,9433999.18146528,814730.2146531444,18,10077705.38276244,-0.06387428257212173
2026-06-02,9429632.438530099,814730.2146531444,18,10077705.38276244,-0.06430758983496847
2026-06-03,9439436.754768502,814730.2146531444,18,10077705.38276244,-0.06333471794935319
2026-06-04,9516811.362175118,814730.2146531444,18,10077705.38276244,-0.05565691784825451
2026-06-05,9467237.349113595,814730.2146531444,18,10077705.38276244,-0.060576094503916426
2026-06-08,9206452.60521711,814730.2146531444,18,10077705.38276244,-0.08645348761986796
2026-06-09,9271649.0526811,814730.2146531444,18,10077705.38276244,-0.07998411339351823
2026-06-10,9105846.396125924,814730.2146531444,18,10077705.38276244,-0.09643653487815255
2026-06-11,9044639.199897896,814730.2146531444,18,10077705.38276244,-0.10251005994197512
2026-06-12,9232554.240074288,814730.2146531444,18,10077705.38276244,-0.08386345011968228
2026-06-15,9307683.45426191,814730.2146531444,18,10077705.38276244,-0.07640845800251561
2026-06-16,9282297.483726632,814730.2146531444,18,10077705.38276244,-0.07892748089225995
2026-06-17,9392922.384666573,814730.2146531444,18,10077705.38276244,-0.06795028948426728
2026-06-18,9480066.84023298,814730.2146531444,18,10077705.38276244,-0.05930303772838009
2026-06-19,9627660.375068795,814730.2146531444,18,10077705.38276244,-0.044657488049157576
2026-06-22,9811844.43120588,814730.2146531444,18,10077705.38276244,-0.02638109980981439
2026-06-23,9783221.654976021,814730.2146531444,18,10077705.38276244,-0.029221307490306485
2026-06-24,9688819.62979902,814730.2146531444,18,10077705.38276244,-0.03858872016923569
2026-06-25,9610361.33695234,814730.2146531444,18,10077705.38276244,-0.04637405322539744
2026-06-26,9610361.33695234,814730.2146531444,18,10077705.38276244,-0.04637405322539744
2026-06-29,9699373.024238717,814730.2146531444,18,10077705.38276244,-0.03754151804942094
2026-06-30,9626469.549965035,814730.2146531444,18,10077705.38276244,-0.04477565235923918
2026-07-01,9577988.83526638,61.852066306222696,20,10077705.38276244,-0.04958634217971955
2026-07-02,9586756.020782737,61.852066306222696,20,10077705.38276244,-0.04871638367395162
2026-07-03,9485205.852463035,61.852066306222696,20,10077705.38276244,-0.058793099003752805
2026-07-06,9514936.679855613,61.852066306222696,20,10077705.38276244,-0.05584294058342116
2026-07-07,9399888.06700161,61.852066306222696,20,10077705.38276244,-0.06725909222551922
2026-07-08,9372151.195160178,61.852066306222696,20,10077705.38276244,-0.0700113925546074
2026-07-09,9540207.910187034,61.852066306222696,20,10077705.38276244,-0.0533353032422218
2026-07-10,9615731.858276634,61.852066306222696,20,10077705.38276244,-0.045841142099271474
2026-07-13,9572410.432007102,61.852066306222696,20,10077705.38276244,-0.05013988120942953
2026-07-14,9525266.980621604,61.852066306222696,20,10077705.38276244,-0.05481787581186504
2026-07-15,9633200.255447654,61.852066306222696,20,10077705.38276244,-0.04410777160395023
