symbol,buy_date,buy_price,sell_date,sell_price,shares,pnl,exit_reason,total_friction
MARUTI,2026-01-02,16600.03480518269,2026-02-03,15033.81440793702,30,-48551.49883143039,STOP_200_EMA_BREAK,1564.8869140602255
NYKAA,2026-01-02,266.8666061096191,2026-02-03,241.758,1873,-48599.37850853492,DROPOUT_RANK_50,1570.9592652183646
UPL,2026-01-02,800.0130036718721,2026-02-03,734.1515537638636,624,-42679.43718677299,STOP_200_EMA_BREAK,1581.8924441757417
EICHERMOT,2026-01-02,7279.12217989361,2026-02-03,7118.258581730769,68,-12572.83355365519,DROPOUT_RANK_41,1634.1088785819493
MANAPPURAM,2026-01-02,312.4861625609247,2026-02-03,287.93355431028704,1599,-40847.09013055975,DROPOUT_RANK_48,1587.4695377901025
MUTHOOTFIN,2026-01-02,3806.647895436018,2026-03-04,3367.2294666323623,131,-59107.66458691697,DROPOUT_RANK_63,1543.8504136380357
NAVINFLUOR,2026-01-02,5913.800210958923,2026-03-04,6186.3571752431435,84,21180.24918228865,DROPOUT_RANK_59,1714.5358175858062
SBILIFE,2026-01-02,2039.60519903419,2026-03-04,1959.3123068842383,245,-21302.467982934206,DROPOUT_RANK_48,1630.7094061959947
HINDCOPPER,2026-01-02,529.6807686149333,2026-03-04,569.9794378051757,943,36244.71435653971,STOP_52W_HIGH_RETRACEMENT,1756.9306898588225
LTF,2026-01-02,316.5602773337763,2026-04-02,237.41552929614377,1579,-126368.99310173385,STOP_52W_HIGH_RETRACEMENT,1399.435950312068
FORCEMOT,2026-01-02,21061.039999999997,2026-04-02,20379.6,23,-17261.377547999902,STOP_52W_HIGH_RETRACEMENT,1588.257547999965
ABCAPITAL,2026-01-02,363.36299999999994,2026-04-02,298.6010939025879,1375,-90525.36879923852,STOP_200_EMA_BREAK,1477.7479152969029
AUBANK,2026-01-02,1002.9289512931122,2026-04-02,856.3104304069169,498,-74528.50242909032,STOP_200_EMA_BREAK,1512.4790277650845
ASHOKLEY,2026-01-02,182.07891660091272,2026-04-02,144.78274877102027,2745,-103826.99985201599,STOP_52W_HIGH_RETRACEMENT,1449.0191589611989
SHRIRAMFIN,2026-01-02,1020.0049438694779,2026-04-02,870.2015984604025,490,-74916.41688194708,DROPOUT_RANK_70,1512.7776315001745
TVSMOTOR,2026-01-02,3833.4439897645316,2026-04-02,3396.6,130,-58334.19029599003,STOP_200_EMA_BREAK,1544.4716266009727
MFSL,2026-01-02,1682.8811511230467,2026-04-02,1449.748751220703,297,-70762.30835220969,STOP_52W_HIGH_RETRACEMENT,1521.9855812136523
ANURAS,2026-01-02,1327.3259999999998,2026-05-04,1348.65,376,6328.275933600089,NO_DATA,1689.5480663999751
PFOCUS,2026-05-04,309.3590377807617,2026-06-02,227.7620154876709,1467,-120959.69608244312,STOP_52W_HIGH_RETRACEMENT,1256.8643784789156
APARINDS,2026-05-04,12557.544999999998,2026-06-02,12788.199,36,6770.827060200041,DROPOUT_RANK_44,1532.7169398000146
NATIONALUM,2026-05-04,396.4118143705768,2026-07-02,334.31479552547546,1145,-72465.13053966727,STOP_52W_HIGH_RETRACEMENT,1364.0439620262616
GESHIP,2026-05-04,1563.9124791972908,2026-07-02,1405.4576719307395,290,-47370.09582298226,STOP_52W_HIGH_RETRACEMENT,1418.2017156823372
HINDALCO,2026-05-04,1038.9235653240798,2026-07-02,936.2239075298623,436,-46195.949130104564,STOP_52W_HIGH_RETRACEMENT,1418.8983318257174
GMDCLTD,2026-05-04,740.7399999999999,2026-07-02,612.387,612,-79897.8089448,STOP_52W_HIGH_RETRACEMENT,1345.772944800028
GLENMARK,2026-05-04,2434.312177133586,2026-07-02,2170.5652768564883,186,-50465.76993705431,DROPOUT_RANK_104,1408.8464855141071
RBLBANK,2026-01-02,314.50075729500935,2026-08-04,378.589896129415,1589,99939.36115107266,DROPOUT_RANK_47,1898.280456797888
GVT&D,2026-05-04,4493.378167540343,2026-08-04,4354.851199900523,101,-15480.764444833796,STOP_52W_HIGH_RETRACEMENT,1489.5407132120024
MCX,2026-05-04,2995.659899249348,2026-08-04,2646.559600168302,151,-54113.476739696576,STOP_52W_HIGH_RETRACEMENT,1399.3315784586243
POWERINDIA,2026-05-04,33905.785329700004,2026-08-04,31965.362015625,13,-26646.579558098456,DROPOUT_RANK_58,1421.0764751234199
SCHNEIDER,2026-05-04,1249.2479999999998,2026-08-04,1339.7588756103517,363,31263.984035604226,DROPOUT_RANK_86,1591.4638109535017
MAHABANK,2026-07-02,91.34124999999999,2026-08-04,79.52039847564697,4358,-52735.40488747385,DROPOUT_RANK_62,1220.1339443434204
TORNTPHARM,2026-07-02,4676.672,2026-08-04,5052.942,85,30580.872348000063,DROPOUT_RANK_41,1402.0776519999845
